00-00	ꦥꦿꦚꦠꦤ꧀ꦲꦸꦩꦸꦩ꧀ꦔꦼꦤꦤꦶꦲꦏ꧀ꦲꦏ꧀ꦲꦱꦱ꧀ꦱꦶꦲꦸꦩꦠ꧀ꦩꦤꦸꦁꦱ
11-01	꧋ꦲꦺꦴꦫꦲꦤꦲꦸꦮꦺꦴꦁꦱꦶꦗꦶꦮꦲꦺꦏꦁꦏꦼꦤꦢꦶꦲꦁꦒꦼꦥ꧀ꦭꦸꦥꦸꦠ꧀ꦤꦶꦤ꧀ꦢꦏ꧀ꦏꦏꦺꦔ꧀ꦭꦁꦒꦂꦲꦁꦒꦼꦂꦲꦁꦒꦼꦂꦲꦸꦠꦮꦠ꧀ꦭꦺꦝꦺꦴꦂ꧈​ꦏꦁꦲꦺꦴꦫꦩꦸꦗꦸꦢ꧀ꦠꦏꦺꦠꦶꦤ꧀ꦢꦏ꧀ꦤꦭꦶꦱꦶꦂꦱꦏꦲꦁꦒꦼꦂꦲꦁꦒꦼꦂꦤꦱꦶꦪꦺꦴꦤꦭ꧀ꦲꦸꦠꦮꦆꦤ꧀ꦠꦼꦂꦤꦱꦶꦪꦺꦴꦤꦭ꧀​ ꦲꦶꦁꦠꦶꦠꦶꦩꦁꦱꦠꦸꦩꦶꦤ꧀ꦢꦏ꧀ꦩꦲꦸꦭꦶꦤꦏꦺꦴꦤ꧀ꦤꦤ꧀꧈​ꦲꦸꦒꦲꦺꦴꦫꦥꦿꦪꦺꦴꦒꦤꦼꦩ꧀ꦠꦺꦴꦏ꧀ꦏꦏꦺꦥꦲꦸꦏꦸꦩ꧀ꦩꦤ꧀ꦏꦁꦭꦸꦮꦶꦃꦲꦧꦺꦴꦢ꧀ꦏꦠꦶꦩ꧀ꦧꦁꦥꦲꦸꦏꦸꦩ꧀ꦩꦤ꧀ꦏꦁꦏꦠꦼꦠꦼꦥ꧀ꦥꦏꦺꦤꦭꦶꦏꦠꦶꦤ꧀ꦢꦏ꧀ꦲꦔ꧀ꦭꦁꦒꦂꦲꦁꦒꦼꦂꦲꦁꦒꦼꦂꦲꦶꦏꦸꦭꦶꦤꦏꦺꦴꦤ꧀ꦤꦤ꧀꧈​
12-00	ꦧꦧ꧀꧇꧑꧒꧇​
12-01	꧋ꦲꦺꦴꦫꦲꦤꦲꦸꦮꦺꦴꦁꦱꦶꦗꦶꦮꦲꦺꦏꦁꦏꦼꦤꦢꦶꦫꦺꦒꦤꦶꦲꦏ꧀ꦥꦿꦶꦧꦢꦶꦤꦺ꧈​ꦏꦸꦭꦺꦴꦮꦂꦒꦤꦺ꧈​ꦧꦭꦺꦮꦶꦱ꧀ꦩꦤꦺ꧈​ꦲꦸꦠꦮꦱꦼꦱꦩ꧀ꦧꦸꦁꦔꦤ꧀ꦤꦺꦤꦩ꧀ꦥꦭꦤ꧀ꦔꦶꦫꦶꦩ꧀ꦭꦪꦁꦏꦤ꧀ꦛꦶꦱꦮꦼꦤꦁꦮꦼꦤꦁ꧈​ꦲꦸꦒꦩꦫꦁꦲꦏ꧀ꦥꦏꦸꦂꦩꦠ꧀ꦠꦤ꧀ꦭꦤ꧀ꦲꦗꦶꦤꦶꦁꦢꦶꦫꦶ꧉​ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦤ꧀ꦢꦂꦧꦺꦤꦶꦲꦏ꧀ꦏꦲꦪꦺꦴꦩ꧀ꦩꦤ꧀ꦢꦺꦤꦶꦁꦲꦁꦒꦼꦂꦲꦁꦒꦼꦂꦲꦮꦶꦠ꧀ꦱꦏꦲꦤꦤꦺꦒꦁꦒꦸꦮꦤ꧀ꦲꦸꦠꦮꦠꦶꦤ꧀ꦢꦏ꧀ꦤꦭꦶꦱꦶꦂꦩꦁꦏꦺꦴꦤꦺꦴꦲꦶꦏꦸ꧉​
13-00	ꦧꦧ꧀꧇꧑꧓꧇​
13-00	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦢꦂꦧꦺꦲꦏ꧀ꦠꦸꦩ꧀ꦫꦥ꧀ꦧꦺꦧꦱ꧀ꦱꦶꦁꦠꦸꦩꦶꦤ꧀ꦢꦏ꧀ꦲꦸꦠꦮꦲꦺꦴꦫꦤꦶꦤ꧀ꦢꦏ꧀ꦏꦏꦺꦲꦥꦲꦥꦲꦶꦁꦱꦗꦿꦺꦴꦤꦶꦁꦭꦭꦢ꧀ꦢꦤ꧀ꦮꦼꦮꦼꦁꦏꦺꦴꦤ꧀ꦤꦶꦁꦤꦒꦫ꧉​
13-01	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦢꦂꦧꦺꦲꦏ꧀ꦤꦶꦁꦒꦭ꧀ꦭꦏꦺꦱꦝꦼꦔꦃꦤꦒꦫ꧈​ꦏꦊꦧꦸꦤꦒꦫꦤꦺꦝꦺꦮꦺ꧈​ꦭꦤ꧀ꦢꦂꦧꦺꦲꦏ꧀ꦧꦭꦶꦩꦤꦺꦃꦩꦼꦚꦁꦤꦒꦫꦤꦺ꧉​
14-00	ꦧꦧ꧀꧇꧑꧔꧇​
14-00	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦢꦂꦧꦺꦲꦏ꧀ꦔꦸꦥꦪꦥꦔꦪꦺꦴꦩ꧀ꦩꦤ꧀ꦩꦫꦁꦤꦒꦫꦭꦶꦪꦏꦁꦒꦺꦴꦥꦔꦪꦺꦴꦩ꧀ꦩꦤ꧀ꦲꦩꦂꦒꦲꦁꦒꦺꦴꦤ꧀ꦤꦺꦢꦢꦶꦧꦸꦫꦺꦴꦤꦤ꧀꧈​
14-01	꧋ꦲꦏ꧀ꦏꦱꦼꦧꦸꦠ꧀ꦲꦺꦴꦫꦏꦼꦤꦏꦲꦼꦠꦿꦥ꧀ꦥꦏꦺꦩꦤꦮꦲꦁꦒꦺꦴꦤ꧀ꦤꦺꦢꦢꦶꦧꦸꦫꦺꦴꦤ꧀ꦲꦶꦏꦸꦚꦠꦏꦁꦢꦢꦶꦱꦧꦧ꧀ꦧꦺꦲꦮꦶꦠ꧀ꦠꦸꦩꦶꦤ꧀ꦢꦏ꧀ꦏꦢꦸꦂꦱꦶꦭꦤ꧀ꦏꦁꦲꦺꦴꦫꦒꦼꦒꦤ꧀ꦝꦺꦁꦔꦤ꧀ꦏꦫꦺꦴꦥꦸꦭꦶꦠꦶꦏ꧀​ ꦲꦸꦠꦮꦏꦫꦤꦠꦸꦩꦶꦤ꧀ꦢꦏ꧀ꦏꦁꦤꦭꦶꦱꦶꦂꦏꦫꦺꦴꦠꦸꦗꦸꦮꦤ꧀ꦱꦶꦁꦧꦏꦸꦱꦏꦥꦱꦫꦺꦏꦠ꧀ꦠꦤ꧀ꦧꦁꦱꦧꦁꦱ꧉​
15-00	ꦧꦧ꧀꧇꧑꧕꧇​
15-00	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦢꦂꦧꦺꦲꦏ꧀ꦢꦢꦶꦮꦂꦒꦤꦒꦫ꧉​
15-01	꧋ꦲꦺꦴꦫꦲꦤꦲꦸꦮꦺꦴꦁꦱꦶꦗꦶꦮꦲꦺꦏꦁꦏꦤ꧀ꦛꦶꦠꦤ꧀ꦥꦭꦤ꧀ꦝꦼꦱ꧀ꦱꦤ꧀ꦠꦠꦤꦤ꧀ꦧꦚ꧀ꦗꦸꦂꦏꦧꦠꦭ꧀ꦭꦏꦺꦲꦁꦒꦺꦴꦤ꧀ꦤꦺꦢꦢꦶꦮꦂꦒꦤꦒꦫꦲꦸꦠꦮꦢꦶꦠꦩ꧀ꦥꦶꦏ꧀ꦲꦏ꧀ꦏꦺꦏꦁꦒꦺꦴꦱꦭꦶꦤ꧀ꦢꦢꦶꦮꦂꦒꦤꦒꦫꦭꦶꦪ꧉​
16-00	ꦧꦧ꧀꧇꧑꧖꧇​
16-00	꧋ꦥꦿꦶꦪꦭꦤ꧀ꦮꦤꦶꦠꦏꦁꦮꦸꦱ꧀ꦢꦶꦮꦱꦏꦤ꧀ꦛꦶꦠꦤ꧀ꦥꦩꦮꦱ꧀ꦧꦁꦱ꧈​ꦮꦂꦒꦤꦒꦫ꧈​ꦲꦸꦠꦮꦲꦒꦩ꧈​ꦢꦂꦧꦺꦲꦏ꧀ꦲꦔ꧀ꦭꦏꦺꦴꦤ꧀ꦤꦶꦤꦶꦁꦏꦃꦭꦤ꧀ꦲꦩ꧀ꦧꦔꦸꦤ꧀ꦏꦸꦭꦮꦂꦒ꧉​ꦏꦧꦺꦃꦤ꧀ꦢꦸꦮꦺꦤꦶꦲꦏ꧀ꦏꦁꦥꦝꦲꦶꦁꦧꦧꦏ꧀ꦏꦤ꧀ꦤꦼꦤꦶꦁꦏꦃꦲꦤ꧀​ ꦲꦶꦁꦱꦗꦿꦺꦴꦤꦶꦁꦲꦭꦩ꧀ꦤꦶꦁꦏꦃꦭꦤ꧀ꦲꦶꦁꦲꦭꦩ꧀ꦥꦼꦒꦠ꧀ꦠꦤ꧀꧈​
16-01	꧋ꦤꦼꦤꦶꦁꦏꦃꦲꦤ꧀ꦲꦩꦸꦁꦧꦶꦱꦢꦶꦊꦏ꧀ꦱꦤꦤꦶꦲꦝꦼꦝꦱꦂꦥꦶꦭꦶꦃꦲꦤ꧀ꦧꦺꦧꦱ꧀ꦭꦤ꧀ꦠꦼꦩꦼꦤ꧀ꦠꦼꦩꦼꦤ꧀ꦢꦢꦶꦥꦱꦫꦸꦗꦸꦏ꧀ꦏꦤ꧀ꦤꦺꦥꦼꦔꦤ꧀ꦠꦺꦤ꧀ꦱꦏꦼꦭꦺꦴꦫꦺꦴꦤ꧀꧈​
16-02	꧋ꦏꦸꦭꦮꦂꦒꦲꦶꦏꦸꦱꦮꦶꦗꦶꦤꦶꦁꦠꦼꦠꦸꦁꦒꦭ꧀ꦭꦤ꧀ꦏꦁꦲꦭꦩ꧀ꦩꦶꦪꦃꦭꦤ꧀ꦧꦏꦸꦲꦶꦁꦧꦼꦧꦿꦪꦤ꧀ꦭꦤ꧀ꦲꦤ꧀ꦢꦸꦮꦺꦤꦶꦲꦏ꧀ꦥꦔꦪꦺꦴꦩ꧀ꦩꦤ꧀ꦱꦏꦧꦼꦧꦿꦪꦤ꧀ꦭꦤ꧀ꦤꦒꦫ꧉​
17-00	ꦧꦧ꧀꧇꧑꧗꧇​
17-00	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦢꦸꦮꦺꦲꦏ꧀ꦲꦤ꧀ꦢꦂꦧꦺꦤꦶꦧꦤ꧀ꦝ꧈​ꦏꦤ꧀ꦛꦶꦥꦿꦶꦧꦢꦶꦲꦸꦠꦮꦧꦼꦧꦉꦁꦔꦤ꧀ꦏꦫꦺꦴꦲꦸꦮꦺꦴꦁꦭꦶꦪꦤꦺ꧉​
17-01	꧋ꦲꦺꦴꦫꦲꦤꦲꦸꦮꦺꦴꦁꦱꦶꦗꦶꦮꦲꦺꦏꦼꦤꦢꦶꦫꦩ꧀ꦥꦱ꧀ꦧꦤ꧀ꦝꦤꦺꦏꦤ꧀ꦛꦶꦱꦮꦼꦤꦁꦮꦼꦤꦁ꧉​
18-00	ꦧꦧ꧀꧇꧑꧘꧇​
18-01	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦢꦂꦧꦺꦲꦏ꧀ꦧꦺꦧꦱ꧀ꦢꦸꦮꦺꦥꦤꦼꦩꦸ꧈​ꦏꦭ꧀ꦧꦸ꧈​ꦭꦤ꧀ꦲꦒꦩ꧉​ꦲꦶꦁꦧꦧꦏ꧀ꦏꦤ꧀ꦲꦶꦏꦶꦏꦊꦧꦸꦲꦏ꧀ꦧꦺꦧꦱ꧀ꦒꦤ꧀ꦠꦶꦲꦒꦩꦭꦤ꧀ꦏꦥꦶꦠꦪꦤ꧀​ ꦭꦤ꧀ꦲꦏ꧀ꦧꦺꦧꦱ꧀ꦏꦁꦒꦺꦴꦲꦤꦼꦏ꧀ꦱꦺꦤ꧀ꦤꦶꦲꦒꦩꦤꦺꦲꦸꦠꦮꦏꦥꦶꦠꦪꦤ꧀ꦤꦺ꧈​ꦏꦤ꧀ꦛꦶꦕꦫꦔ꧀ꦒꦼꦭꦂꦥꦶꦮꦸꦭꦁ꧈​ꦔ꧀ꦭꦏꦺꦴꦤꦶ꧈​ꦭꦏꦸꦲꦶꦧꦝꦃ꧈​ꦭꦤ꧀ꦱꦼꦠꦾꦠꦸꦲꦸꦔꦸꦒꦼꦩ꧀ꦩꦶꦥꦼꦂꦕꦪꦤꦺ꧈​ꦏꦤ꧀ꦛꦶꦕꦫꦥꦿꦶꦧꦢꦶꦲꦸꦠꦮꦧꦼꦧꦉꦁꦔꦤ꧀ꦏꦫꦺꦴꦲꦸꦮꦺꦴꦁꦭꦶꦪꦤꦺ꧈​ꦲꦶꦁꦔꦼꦝꦼꦁꦔꦤ꧀ꦲꦸꦠꦮꦥꦿꦶꦧꦢꦶ꧉​
19-00	ꦧꦧ꧀꧇꧑꧙꧇​
19-01	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦢꦂꦧꦺꦲꦏ꧀ꦲꦶꦁꦔꦠꦱ꧀ꦱꦺꦲꦏ꧀ꦧꦺꦧꦱ꧀ꦩꦿꦠꦺꦭꦏ꧀ꦏꦏꦺꦥꦤꦼꦩꦸꦤꦺ꧈​ꦏꦊꦧꦸꦢꦸꦮꦺꦲꦏ꧀ꦧꦺꦧꦱ꧀ꦢꦂꦧꦺꦥꦤꦼꦩꦸꦠꦤ꧀ꦥꦢꦶꦒꦁꦒꦸ꧈​ꦭꦤ꧀ꦏꦁꦒꦺꦴꦔꦸꦥꦪ꧈​ꦤꦩ꧀ꦥ꧈​ꦱꦂꦠꦩꦿꦠꦺꦭꦏ꧀ꦏꦏꦺꦲꦶꦤ꧀ꦥ꦳ꦺꦴꦂꦩꦱꦶꦭꦤ꧀ꦥꦩꦶꦏꦶꦂꦫꦤ꧀ꦥꦤꦼꦩꦸꦤꦺꦭꦸꦩꦤ꧀ꦠꦂꦩꦺꦢꦶꦪꦲꦥꦮꦲꦺꦏꦤ꧀ꦛꦶꦠꦤ꧀ꦥꦩꦮꦱ꧀ꦮꦠꦼꦱ꧀ꦱꦶꦁꦮꦼꦮꦼꦁꦏꦺꦴꦤ꧀ꦭꦭꦢ꧀ꦢꦤ꧀꧉​
20-00	ꦧꦧ꧀꧇꧒꧐꧇​
20-00	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦤ꧀ꦢꦸꦮꦺꦤꦶꦲꦏ꧀ꦲꦶꦁꦔꦠꦱ꧀ꦱꦺꦲꦏ꧀ꦧꦺꦧꦱ꧀ꦔꦸꦩ꧀ꦥꦸꦭ꧀ꦭꦤ꧀ꦒꦮꦺꦥꦒꦸꦪꦸꦧ꧀ꦧꦤ꧀ꦠꦤ꧀ꦥꦲꦤꦤꦺꦫꦸꦢꦥꦼꦏ꧀ꦱꦤ꧀꧈​
20-01	꧋ꦲꦺꦴꦫꦲꦤꦲꦸꦮꦺꦴꦁꦱꦶꦗꦶꦮꦲꦺꦏꦁꦏꦼꦤꦢꦶꦥꦼꦏ꧀ꦱꦭꦸꦩꦼꦧꦸꦲꦶꦁꦱꦮꦶꦗꦶꦤꦶꦁꦥꦒꦸꦪꦸꦧ꧀ꦧꦤ꧀꧈​
21-00	ꦧꦧ꧀꧇꧒꧑꧇​
21-00	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦤ꧀ꦢꦸꦮꦺꦤꦶꦲꦏ꧀ꦕꦮꦺꦕꦮꦺꦲꦶꦁꦏꦥꦼꦂꦭꦸꦮꦤ꧀ꦤꦺꦥꦩꦫꦶꦤ꧀ꦠꦃꦤꦒꦫꦤꦺ꧈​ꦏꦤ꧀ꦛꦶꦭꦁꦱꦸꦁꦲꦸꦠꦮꦭꦸꦩꦤ꧀ꦠꦂꦮꦏꦶꦭ꧀ꦮꦏꦶꦭ꧀ꦏꦁꦥꦶꦤꦶꦭꦶꦃꦏꦤ꧀ꦠꦶꦧꦺꦧꦱ꧀꧈​
21-01	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦢꦂꦧꦺꦲꦏ꧀ꦏꦁꦥꦝꦏꦤ꧀ꦛꦶꦏꦭꦺꦴꦝꦁꦔꦤ꧀ꦏꦁꦥꦝꦧꦶꦱꦏꦮꦶꦱꦸꦝꦠꦩ꧀ꦥꦏꦭꦸꦁꦒꦸꦃꦲꦤ꧀ꦥꦩꦫꦶꦤ꧀ꦠꦃꦲꦶꦁꦤꦒꦫꦤꦺ꧉​
21-02	꧋ꦒꦼꦒꦪꦸꦃꦲꦤ꧀ꦤꦶꦁꦫꦏ꧀ꦪꦠ꧀ꦏꦸꦢꦸꦢꦢꦶꦭꦩ꧀ꦧꦂꦫꦤ꧀ꦧꦏꦸꦮꦼꦮꦼꦤꦁꦔꦺꦥꦩꦫꦶꦤ꧀ꦠꦃ꧈​ꦒꦼꦒꦪꦸꦃꦲꦤ꧀ꦲꦶꦏꦶꦏꦸꦢꦸꦏꦮꦸꦗꦸꦢ꧀ꦠꦏꦺꦏꦤ꧀ꦛꦶꦕꦫꦲꦤꦤꦺꦥꦩꦶꦭꦶꦃꦲꦤ꧀ꦲꦸꦩꦸꦩ꧀ꦏꦁꦢꦶꦲꦤꦏ꧀ꦏꦏꦺꦲꦶꦁꦮꦼꦏ꧀ꦠꦸꦏꦁꦠꦶꦤꦩ꧀ꦠꦸꦭꦤ꧀ꦩꦸꦂꦤꦶꦏꦤ꧀ꦛꦶꦲꦏ꧀ꦥꦶꦭꦶꦃꦏꦁꦲꦸꦩꦸꦩ꧀ꦭꦤ꧀ꦱꦢꦿꦗꦠ꧀​ ꦏꦤ꧀ꦛꦶꦥꦸꦔꦸꦠ꧀ꦱ꧀ꦮꦫꦱꦕꦫꦮꦢꦶꦲꦸꦠꦮꦏꦤ꧀ꦛꦶꦥꦿꦤꦠꦤ꧀ꦭꦶꦪꦲꦁꦒꦼꦂꦧꦶꦱꦤꦁꦒꦸꦁꦲꦏ꧀ꦧꦺꦧꦱ꧀ꦲꦁꦒꦺꦴꦤ꧀ꦤꦺꦩꦶꦭꦶꦃ꧉​
22-00	ꦧꦧ꧀꧇꧒꧒꧇​
22-01	꧋ꦒꦼꦒꦪꦸꦃꦲꦤ꧀ꦤꦶꦁꦫꦏ꧀ꦪꦠ꧀ꦏꦸꦢꦸꦢꦢꦶꦭꦩ꧀ꦧꦂꦫꦤ꧀ꦧꦏꦸꦮꦼꦮꦼꦤꦁꦔꦺꦥꦩꦫꦶꦤ꧀ꦠꦃ꧈​ꦒꦼꦒꦪꦸꦃꦲꦤ꧀ꦲꦶꦏꦶꦏꦸꦢꦸꦏꦮꦸꦗꦸꦢ꧀ꦠꦏꦺꦏꦤ꧀ꦛꦶꦕꦫꦲꦤꦤꦺꦥꦩꦶꦭꦶꦃꦲꦤ꧀ꦲꦸꦩꦸꦩ꧀ꦏꦁꦢꦶꦲꦤꦏ꧀ꦏꦏꦺꦲꦶꦁꦮꦼꦏ꧀ꦠꦸꦏꦁꦠꦶꦤꦩ꧀ꦠꦸꦭꦤ꧀ꦩꦸꦂꦤꦶꦏꦤ꧀ꦛꦶꦲꦏ꧀ꦥꦶꦭꦶꦃꦏꦁꦲꦸꦩꦸꦩ꧀ꦭꦤ꧀ꦱꦢꦿꦗꦠ꧀​ ꦏꦤ꧀ꦛꦶꦥꦸꦔꦸꦠ꧀ꦱ꧀ꦮꦫꦱꦕꦫꦮꦢꦶꦲꦸꦠꦮꦏꦤ꧀ꦛꦶꦥꦿꦤꦠꦤ꧀ꦭꦶꦪꦲꦁꦒꦼꦂꦧꦶꦱꦤꦁꦒꦸꦁꦲꦏ꧀ꦧꦺꦧꦱ꧀ꦲꦁꦒꦺꦴꦤ꧀ꦤꦺꦩꦶꦭꦶꦃ꧉​ ꧈​ꦩꦶꦤꦁꦏꦮꦂꦒꦤꦶꦁꦧꦼꦧꦿꦪꦤ꧀ꦲꦤ꧀ꦢꦸꦮꦺꦤꦶꦲꦏ꧀ꦲꦶꦁꦔꦠꦱ꧀ꦱꦺꦗꦩꦶꦤ꧀ꦤꦤ꧀ꦱꦺꦴꦱꦶꦪꦭ꧀​ ꦱꦂꦠꦢꦂꦧꦺꦲꦏ꧀ꦲꦩꦿꦶꦃꦏꦊꦏ꧀ꦱꦤꦤ꧀ꦤꦺꦲꦏ꧀ꦲꦏ꧀ꦲꦺꦏꦺꦴꦤꦺꦴꦩꦶ꧈​ꦱꦺꦴꦱꦶꦪꦭ꧀꧈​ꦭꦤ꧀ꦧꦸꦢꦪꦱꦶꦁꦢꦢꦶꦏꦥꦼꦂꦭꦸꦮꦤ꧀ꦩꦂꦠꦧꦠ꧀ꦠꦺꦱꦂꦠꦩꦼꦏꦂꦫꦶꦁꦥꦿꦶꦧꦢꦶꦤꦺꦏꦤ꧀ꦛꦶꦧꦺꦧꦱ꧀​ ꦭꦸꦩꦤ꧀ꦠꦂꦫꦺꦏꦢꦪꦤꦱꦶꦪꦺꦴꦤꦭ꧀ꦲꦸꦠꦮꦏꦂꦪꦥꦩꦶꦠꦿꦤ꧀ꦆꦤ꧀ꦠꦼꦂꦤꦱꦶꦪꦺꦴꦤꦭ꧀​ ꦕꦺꦴꦤ꧀ꦝꦺꦴꦁꦩꦫꦁꦠꦠꦥꦿꦤꦠꦤꦺꦭꦤ꧀ꦱꦸꦩ꧀ꦧꦼꦂꦢꦪꦤꦶꦁꦤꦒꦫ꧉​
23-00	ꦧꦧ꧀꧇꧒꧓꧇​
23-00	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦤ꧀ꦢꦸꦮꦺꦤꦶꦲꦏ꧀ꦥꦒꦮꦺꦪꦤ꧀꧈​~ꦲꦏ꧀ꦧꦺꦧꦱ꧀ꦩꦶꦭꦶꦃꦥꦒꦮꦺꦪꦤ꧀​ ꦢꦂꦧꦺꦲꦏ꧀ꦲꦤꦤꦺꦱꦾꦫꦠ꧀ꦱꦾꦫꦠ꧀ꦚꦩ꧀ꦧꦸꦠ꧀ꦒꦮꦺꦏꦤ꧀ꦛꦶꦲꦢꦶꦭ꧀ꦭꦤ꧀ꦔꦸꦮꦺꦴꦃꦲꦏꦺꦏꦲꦸꦤ꧀ꦠꦸꦁꦔꦤ꧀ꦱꦂꦠꦤ꧀ꦢꦸꦮꦺꦤꦶꦲꦏ꧀ꦲꦶꦁꦔꦪꦺꦴꦩꦤ꧀ꦲꦶꦁꦏꦲꦤꦤꦺꦤꦭꦶꦏꦲꦺꦴꦫꦚꦩ꧀ꦧꦸꦠ꧀ꦒꦮꦺ꧉​
23-01	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦏꦤ꧀ꦛꦶꦲꦺꦴꦫꦏꦧꦺꦢꦧꦺꦢꦏꦏꦺ꧈​ꦢꦂꦧꦺꦲꦏ꧀ꦲꦶꦁꦔꦠꦱ꧀ꦱꦺꦲꦺꦴꦥꦃꦏꦁꦥꦝꦠꦸꦩ꧀ꦫꦥ꧀ꦥꦒꦮꦺꦪꦤ꧀ꦏꦁꦥꦝ꧉​
23-02	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦏꦁꦔ꧀ꦭꦏꦺꦴꦤꦶꦥꦒꦮꦺꦪꦤ꧀ꦲꦤ꧀ꦢꦸꦮꦺꦤꦶꦲꦏ꧀ꦤꦩ꧀ꦥꦲꦺꦴꦥꦃꦏꦁꦲꦢꦶꦭ꧀ꦭꦤ꧀ꦔꦸꦤ꧀ꦠꦸꦁꦔꦏꦺ꧈​ꦏꦁꦤꦁꦒꦸꦁꦧꦶꦱꦤꦺꦢꦢꦶꦥꦔꦸꦫꦶꦥ꧀ꦥꦤ꧀ꦏꦁꦩꦸꦂꦮꦠ꧀ꦏꦁꦒꦺꦴꦝꦶꦫꦶꦥꦿꦶꦧꦢꦶꦭꦤ꧀ꦲꦸꦒꦩꦫꦁꦏꦭꦸꦮꦂꦒꦤꦺ꧈​ꦭꦤ꧀ꦩꦤꦮꦲꦤꦮꦶꦒꦠꦶꦤꦺꦏꦠꦩ꧀ꦧꦃꦲꦶꦁꦭꦶꦤ꧀ꦝꦸꦁꦔꦤ꧀ꦏꦥꦼꦂꦭꦸꦮꦤ꧀ꦱꦺꦴꦱꦶꦪꦭ꧀ꦭꦶꦪꦤꦺ꧉​
23-03	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦢꦂꦧꦺꦲꦏ꧀ꦲꦁꦒꦮꦭꦤ꧀ꦲꦔ꧀ꦭꦼꦧꦺꦴꦤꦶꦥꦒꦸꦪꦸꦧ꧀ꦧꦤ꧀ꦥꦒꦸꦪꦸꦧ꧀ꦧꦤ꧀ꦥꦼꦒꦮꦺꦏꦁꦒꦺꦴꦔꦪꦺꦴꦩ꧀ꦩꦶꦏꦥꦼꦂꦭꦸꦮꦤ꧀ꦤꦺ꧉​
24-00	ꦧꦧ꧀꧇꧒꧔꧇​
24-01	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦤ꧀ꦢꦸꦮꦺꦲꦏ꧀ꦔꦱꦺꦴꦭꦤ꧀ꦭꦶꦧꦸꦂ꧈​ꦏꦊꦧꦸꦥꦿꦤꦠꦤꦶꦁꦮꦚ꧀ꦕꦶꦚꦩ꧀ꦧꦸꦠ꧀ꦒꦮꦺꦏꦁꦩꦸꦂꦮꦠ꧀ꦭꦤ꧀ꦢꦶꦤꦭꦶꦧꦸꦂꦏꦁꦥꦤ꧀ꦠꦼꦱ꧀ꦏꦤ꧀ꦛꦶꦮꦼꦮꦠꦺꦴꦤ꧀ꦠꦸꦩꦠ꧈​ꦭꦤ꧀ꦠꦼꦠꦼꦥ꧀ꦤꦩ꧀ꦥꦲꦺꦴꦥꦃꦏꦂꦪ꧉​
25-00	ꦧꦧ꧀꧇꧒꧕꧇​
