00-00	ᏂᎬᎾᏛ ᏗᎦᏃᏣᎳᏅᎢ ᎠᏂᏴᏫ ᎤᏂᎲ ᎢᏳᎾᏛᏗᎢ
18-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎾᎢ ᏙᎯᏉ ᎤᎾᏕᏗᎢ, ᏧᏄᎪᏙᏗᏱ ᎠᎴ ᏧᎾᏁᎵᏗ; ᎯᎠ ᎤᏂᎲ ᏚᏳᎪᏛ ᎠᏠᏯᏍᏗ ᏙᎯ ᎠᏕᏗᎢ ᎾᏍᏉ ᎦᏁᏟᏴᏍᏗ ᎤᎲᎢ ᏧᏁᎵᏗ ᎨᏒ ᎠᎴ ᎤᏬᎯᏳᏒᎢ, ᎠᎴ ᏙᎯ ᎠᏕᏗᎢ, ᎢᏧᎳᏉ ᎤᏩᏒ ᎠᎴ ᎾᎿᎢ ᏚᏂᏚᏒᎩ ᎤᏠᏯᏍᏗ ᏐᎢ ᎠᎴ ᎾᎿᎢ ᏴᏫ ᎤᎾᏓᏍᏗᎢ ᎠᎴ ᎤᏕᎵᏓ, ᏚᎾᎳᏏᏛ ᎤᏂᎲ ᏧᎾᏁᎵᏗ ᎠᎴ ᎤᏃᎯᏳᏒᎩ ᎾᎿ ᏓᎾᏕᏲᎲᏍᎬ, ᎠᎾᎵᏏᎾᎯᏍᏗᏍᎬ, ᎠᎾᏓᏙᎵᏍᏗᏍᎬ ᎠᎴ ᎠᎦᏎᏍᏔᏅᎩ.
19-00	ᎠᏯᏙᎸ 19
19-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᏙᎯᏉ ᎠᏕᏗᎢ ᎾᏍᎩ ᎪᎵᏨᎢ ᎠᎴ ᎤᏟᏁᏨᎢ; ᎯᎠ ᏚᏳᎪᏛ ᎤᏂᎲ ᏚᏳᎪᏛ ᎠᏠᏯᏍᏗ ᏙᎯ ᎠᏕᏗᎢ ᎤᏒᎦᎴᏍᏗ ᏄᏍᏛ ᎪᎵᎬᎢ ᏅᏠᏯᏍᏗᏍᎬᎾ ᎾᏓᏲᏍᏓᏁᎲᎾ ᎠᎴ ᎤᏂᏲᎲᎩ, ᎠᏂᎩᏍᏗ ᎠᎴ ᏩᏓᏁᏗᏱ ᎬᏂᎨᏒ ᎢᎬᏩᏁᏗ ᎠᎴ ᎠᏓᏅᏖᏍᎬ ᎠᎦᏛᎵᏍᏔᏅ ᏂᎦᎥ ᎧᏃᎮᏓ ᎤᎾᏗᎦᎴᏯᏍᏗ ᎠᎴ ᏱᏂᎦᎵᏍᏗᏉ ᎤᎾᎢ ᎠᏍᏓᏅᏅ ᏗᏟᎶᏛ.
20-00	ᎠᏯᏙᎸ 20
20-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᏙᎯᏉ ᎠᏕᏗᎢ ᏙᎯ ᎠᏕᏗᎢ ᎾᏍᎩ ᏅᏩᏙᎯᏯᏛᏉ ᏓᏂᎳᏫᎬ ᎠᎴ ᎤᎾᎵᎪᏒᎢ.
20-02	ᏝᎩᎶᎢ ᏰᎵᏉ ᎤᏚᏓᎸᏗ ᎤᏙᏣᎸᏗ ᎾᏍᎩ ᏧᎵᎪᏗᏱ.
21-00	ᎠᏯᏙᎸ 21
21-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎤᎾᏖᎳᏗᏍᏗ ᎾᎿ ᎠᏰᎵ ᎤᏙᏢᏒ ᎾᏍᎩ ᎠᏰᎵ ᏂᎬᎾᏛᎢ ᎮᎲᎢ, ᏥᏳᏗᏉ ᎠᎴ ᎠᎦᏛᎵᏍᏔᏅ ᏄᏚᏓᎸᎾᏉ ᎠᎾᏑᏰᏍᎬ ᏗᏂᎳᏫᎩ.
21-02	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎢᏧᎳᎭᏉᏃ ᎠᏴᏍᏙᏗ ᎤᎾᎢ ᎠᏰᎵ ᎢᏳᎾᏓᏛᏁᏗ ᎾᎿᎢ ᎤᏤᎵ ᎠᏰᎵ ᏂᎬᎾᏛᎢ.
21-03	ᎾᏍᎩᏃ ᎠᏛᏅᎢᏍᏛ ᎾᏍᎩ ᎠᏂᏴᏫ ᎤᏙᎯᏳᎯ ᎾᏍᎩ ᎠᏰᎵ ᎤᏙᏢᏒ ᎤᏒᎦᎴᏍᏗ ᎠᏰᎵ ᎤᏙᏢᏒ; ᎯᎠ ᎠᏛᏅᎢᏍᏛ ᎤᏙᎯᏳᏒ ᎤᏟᏁᏨ ᎾᎿ ᎢᏳᏓᎵᎭ ᎠᎴ ᏙᏳᏃ ᏧᎾᏓᏑᏰᏍᏗ ᎾᏍᎩᏃ ᎤᏙᎯᏳᎯ ᎾᏍᎩ ᏂᎬᎾᏛ ᎠᎴ ᎢᏧᎳᎭᏉᏃ ᎤᏅᏌ ᎢᏳᎾᏛᏁᏗ ᎤᏁᎲᎢ ᎠᎴ ᎤᏙᎯᏳᎯ ᎤᎾᏒᎦᏢ ᎤᏕᎵᏛ ᎤᏂᏁᎢᏍᏗ ᎨᏎᏍᏗ ᎠᎴ ᎾᏍᎩ ᎤᏠᏱᏉ ᏄᏚᏓᎸᎾ ᎧᏁᎢᏍᏗ ᎠᎯᎸᏍᏗᏱ.
22-00	ᎠᏯᏙᎸ 22
22-01	ᏂᎦᏛ ᎠᏂᏴᏫ, ᎾᏍᎩ ᎠᏁᎳ ᎨᏒ ᏴᏫ, ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎾᏍᎩ ᏩᏥᏂ ᎠᏚᏓᎸᏗ ᎠᎴ ᎤᎾᏓᏂᏜᏅᎢ ᎾᏍᎩ ᎠᏓᏙᏟᏍᏗ, ᎠᎦᏛᎵᏍᏔᏅ ᎠᏰᎵ ᎤᎾᏙᏢᏒ ᎠᏁᎸᏗᏍᎬᎩ ᎠᎴ ᎠᏰᎵ ᏚᎾᏙᏢᏒ ᎤᎾᎵᎪᏒ-ᎤᎵᎪᎯ ᎠᎴ ᎾᏍᎩ ᏂᎬᏅ ᎤᎵᎪᎯ ᎾᏍᎩ ᏧᎾᏙᏢᏃᏅᎯ ᎠᎴ ᏧᎬᏩᎶᏗ ᎤᎾᎢ ᏂᎦᏓ ᏍᎦᏚᎩ, ᎾᏍᎩ ᎠᎳᏏᏅᏙᏗ, ᏴᏫ ᎠᎴ ᎤᏂᎲ ᎢᏳᎾᏛᏁᎵᏗ ᏚᏳᎪᏛᎢ ᎢᏳᎵᏍᏙᏗ ᎾᏍᎩᎾ ᎤᎲ ᎠᏢᏉᏙᏗ ᎠᎴ ᎾᏍᎩ ᎤᎲ ᎤᏓᏅᏘᏗᎢ ᎾᏍᎩ ᎠᏎᏊ ᎤᏙᎷᏩᏛᎲᎩ.
23-00	ᎠᏯᏙᎸ 23
23-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᏗᎦᎸᏫᏍᏓᏁᏗ, ᎤᏚᏓᎴᏓ ᎤᏑᏰᏍᏗ ᏗᎨᏥᎾᏢᏗᎢ, ᎾᎢ ᎣᏍᏓ ᎠᎴ ᎠᏑᏰᏍᏔᏅ ᏚᎾᎳᏏᏛᎩ ᏗᎦᎸᏫᏍᏓᏁᏗ ᎠᎴ ᏗᏍᏕᎵᏍᎩ ᎾᏍᎩᎾ ᏗᎨᏥᎾᏢᏗᎢ ᏂᎦᏒᎾ.
23-02	ᏂᎦᏛ ᎠᏂᏴᏫ, ᏂᎦᎥ ᎠᏓᏛᏳᏤᏗ ᏂᎦᏒᎾ, ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎢᏗᎦᏗ ᎠᎦᎫᏴᎡᎲᎢ ᎾᏍᎩᎾ ᎢᏗᎦᏗ ᏗᎦᎸᏫᏍᏓᏁᏗ.
23-03	ᏂᎦᏛ ᎠᏂᏴᏫ ᎾᏍᎩᎾ ᏧᏂᎸᏫᏍᏓᏁᎯ ᎤᏂᎲ ᏚᏳᎪᏛ ᎾᏍᎩ ᎣᏍᏓ ᎠᎴ ᎠᏑᏰᏍᏔᏅ ᎨᎦᎫᏴᎡᏗᏱ ᎨᏒᎢ ᎠᏍᏓᏩᏛᏍᏗ ᎾᏍᎩᎾ ᎤᏩᏒᏉ ᎠᎴ ᏏᏓᏁᎸ ᏂᏚᏩᏅᎩ ᎾᏃ ᎠᏁᎲᎢ ᏧᎬᏩᎶᏗᏯ ᎾᎢ ᎠᏂᏴᏫ ᎠᏢᏉᏙᏗ, ᎠᎴ ᎦᏁᏉᏓ, ᏱᏂᎦᎵᏍᏗᏉ, ᎾᏍᎩᏃ ᏐᎢ ᎤᎾᎵᏍᏕᎸᏩᏙᏗ ᎾᏍᎩ ᏴᏫ ᏗᏂᏍᏕᎵᏍᎩ.
23-04	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎤᎾᏙᏢᏗ ᎠᎴ ᎾᏍᎩ ᎤᎾᏖᎳᏗᏍᏗ ᏗᎾᏘᏍᎩ ᏌᏊ ᎤᎾᎵᎪᎯ ᎾᏍᎩᎾ ᏗᏂᏍᏕᎵᏍᎩ ᎤᏤᎵᎢ ᎧᏁᏉᎩ ᎨᏒᎢ.
24-00	ᎠᏯᏙᎸ 24
24-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎤᏣᏪᏐᎸᏍᏙᏗ ᎠᎴ ᏙᎢ ᏅᏛᏅᎩ ᏗᎦᎸᏫᏍᏓᏁᏗ, ᎤᏠᏯᏍᏗ ᏄᎶᏒᏍᏛᎾ ᎠᏎᎸᎩ ᎢᏳᏟᎶᏓ ᏚᏂᎸᏫᏍᏓᏁᎲ ᎠᎴ ᎢᏳᏓᎵᏊ ᏧᏂᎸᏫᏍᏓᏁᏗ ᏂᎨᏒᎾ ᎢᎦ ᎾᏍᎩ ᎠᎦᏈᏴᎮᎲ ᎤᏠᏯᏍᏗ.
25-00	ᎠᏯᏙᎸ 25
25-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎠᏰᎸ ᏄᏛᎿᏕᎬ ᎤᎴᏂᏙᎲ ᎡᎵᎢᎦ ᎤᏠᏱᏉ ᏳᎵᏍᏙᏗ ᎠᎴ ᎣᏍᏛ-ᏅᏛᎾᏕᎬ ᎤᏩᏌ ᎠᎴ ᏏᏓᏁᎸᎢ ᏚᏩᎧᎲᎩ, ᎤᏠᏯᏍᏗ ᎠᎵᏍᏓᏴᏘ, ᏗᎿᏬ, ᎦᎵᏦᏕ ᎠᎴ ᎦᏃᏢᎩᏅᏬᏘ ᎠᎦᏎᏍᏙᏗᎢ ᎠᎴ ᏱᏂᎦᎵᏍᏗ ᏴᏫ ᏗᏂᏍᏕᎸᎯᏙ ᎠᏥᏍᏕᎸᏗᎢ, ᎠᎴ ᎾᏍᎩ ᎤᏂᎮᏍᏗ ᎾᎢ ᎠᏥᏍᏕᎸᏗ ᎾᏳᎢ ᎾᏍᎩ ᏂᎦᎵᏍᏔᏂᏙᎲ ᎾᏍᎩ ᏗᎨᏥᎾᏢᏗᎢ ᏂᎦᏒᎾ, ᎤᏢᏥᏰᏍᎩ, ᏗᎬᏩᎸᏫᏍᏓᏁᏗ ᏂᎨᏒᎾ, ᎠᎦᏴᎵ, ᎠᎴ ᏐᎢ ᎦᎷᎶᎬᎩ ᎾᏍᎩ ᏗᎦᎸᏫᏍᏓᏁᏗ ᏗᎦᎸᏫᏍᏓᏁᏗ ᎤᎲᎩ ᎾᏳᎢ ᏂᎦᎵᏍᏔᏂᏙᎲᎢ ᎤᎶᏒᏍᏔᏅ ᎠᎨᏔᏗᏍᏗ ᏂᎨᏒᎾ.
25-02	ᎤᏓᏥᎢ ᎠᎴ ᏗᏂᏲᎵ ᎤᏂᎲ ᎤᎾᏓᏂᏜᏅᎢ ᎤᏤᎵᏛ ᎨᎦᎦᏎᏍᏙᏗ ᎠᎴ ᎨᏥᏍᏕᎸᏗᎢ. ᏂᎦᎥ ᏗᏂᏲᏟ, ᎢᏳᏃ ᏕᎨᎦᏨᏍᏔᏅᎩ ᎠᎴ ᏕᎨᎦᏨᏍᏔᏅᎩ ᏂᎨᏒᎾ ᏱᎩ ᎤᏕᏅᎩ, ᏭᏓᎪᎾᏛ ᎠᎵᎮᎵᏍᏗ ᎾᏍᎩ ᎤᏠᏱ ᏴᏫ ᏗᏂᏍᏕᎵᏍᎩ.
26-00	ᎠᏯᏙᎸ 26
26-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᏧᎾᏕᎶᏆᏍᏗ. ᏧᎾᏕᎶᏆᏍᏗ ᏭᏓᎪᎾᏛᎯ ᎠᏎᏊᎢ, ᎡᎵᏍᏗᏃ ᎾᏍᎩ ᎠᏓᎴᏂᏍᎬᎩ ᎠᎴ ᏄᎬᏫᏳᏒ ᏗᎳᏏᏙᏗ ᏩᏓᏎᏢᎩ. ᎠᏓᎴᏂᏍᎬᎩ ᏧᎾᏕᎶᏆᏍᏗ ᏭᏓᎪᎾᏛᎯ ᎠᏚᏓᎸᏗ ᎨᏎᏍᏗ. ᎠᎯᎸᏍᏗᏱ ᎠᎴ ᎠᎦᏔᎾᎢ ᎢᏳᏛᏁᏗ ᏧᎾᏕᎶᏆᏍᏗ ᏭᏓᎪᎾᏛᎯ ᏳᎵᏍᏙᏗ ᏂᎦᎥᏊ ᎤᏙᏢᏅᎩ ᎠᏛᏅᎢᏍᏔᏅᎩ ᎠᎴ ᏩᎦᎸᎳᏗᏴ ᏧᎾᏕᎶᏆᏍᏗ ᏭᏓᎪᎾᏛᎯ ᏳᎵᏍᏙᏗ ᎢᏗᎦᎦᏘ ᎬᏴᏍᏗ ᎨᏒᎢ ᎾᏍᎩ ᏂᎨᏓ ᎠᎴᏅᏔᏅ ᏄᏍᏛ ᏩᏛᏁᏗᎢ.
26-02	ᏧᎾᏕᎶᏆᏍᏗ ᏭᏓᎪᎾᏛᎯ ᏳᎵᏍᏙᏗ ᎠᏓᏎᎮᎸ ᎾᏍᎩ ᎧᎵᎢ ᏚᎾᏠᎷᏩᏛᎲ ᎾᏍᎩ ᎠᏂᏴᏫ ᎤᏩᏒᎯᏊᏃ ᎠᎴ ᎾᏍᎩ ᏂᏚᎳᏂᎬᎬ ᎪᎯᏳᏗ ᎾᏍᎩᎾ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎠᎴ ᏄᎬᏫᏳᏒ ᏗᎳᏏᏙᏗ ᏙᎯ ᎠᏕᏗᎢ. ᎤᏂᎮᏍᏗ ᎬᏂᎨᏒ ᏂᎬᏅᎩ ᎪᎵᏍᏗᎢ, ᎠᎵᏍᎪᎵᏗᎨ ᎠᎴ ᎣᎵᎢ ᏄᎾᏛᏅ ᏂᎦᏓ ᎠᏰᎵ ᏚᎾᏙᏢᏒ, ᏧᎾᏓᎴᏅᏓ ᎠᏂᏴᏫ ᎠᎴ ᏧᎾᏁᎸᏗ ᏚᎾᏓᏠᎬ, ᎠᎴ ᏫᏗᏗᏢ ᏭᏓᎪᎾᏛ ᎾᏍᎩ ᎠᎵᏂᎬᏁᏗᎢ ᎾᏍᎩ ᎤᎾᏓᏚᏕᏫᏛ ᎠᏰᎵ ᎾᏍᎩᎾᏃ ᎤᏂᏍᏆᏂᎪᏙ ᏅᏩᏙᎯᏯᏛ.
26-03	ᏧᎾᏓᎦᏴᎵᎨ ᎤᏂᎭ ᏧᏩᎫᏔᏅᏒ ᏚᏳᎪᏛ ᎤᏂᎲ ᎤᎾᏑᏰᏍᏗ ᎾᏍᎩ ᎢᏳᏍᏗ ᏧᎾᏕᎶᏆᏍᏗ ᎾᏍᎩ ᏭᏓᎪᎾᏛᎯ ᏳᎵᏍᏙᏗ ᎠᏥᏂᏗ ᎾᏍᎩ ᏚᏓᏘᎾᎥᎢ.
27-00	ᎠᏯᏙᎸ 27
27-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᏄᏚᏓᎸᎾᏉ ᎤᏪᎳᏗᏓᏍᏗ ᎾᎿᎢ ᎤᎾᎴᏂᏓᏍᏗ ᎨᏒ ᎠᎾᎴᏂᏙᎰᎢ ᎾᏍᎩ ᎤᏂᏚᏒᎩ, ᎾᎢ ᎠᎵᎮᎵᏍᏗ ᎾᏍᎩ ᎪᏢᏅᏅ ᎠᎴ ᎠᏓᏲᏔᎡᏗ ᎾᎿᎢ ᎾᏏᎾᏒᎩ ᎠᎵᏱᎴᎬᎩ ᎠᎴ ᎾᏍᎩ ᎤᎾᎵᏍᏕᎸᏙᏗ.
27-02	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎨᏥᏍᏕᎸᏗ ᎾᏍᎩ ᎠᎦᏓᏅᏖᏗ ᎠᎴ ᎬᏓᏂᏓᏍᏗ ᎠᏍᏓᏫᏛᏍᏗ ᎾᏍᎩᎾ ᏂᎦᎥ ᏫᏂᎦᎵᏍᏔᏂᎯᎲᎩ ᎾᏏᎾᏒᎩ, ᎠᎦᏔᎲ ᎪᏪᎵ ᎠᎴ ᎤᏃᏢᏅᏍᎩ ᎤᏃᏢᏅᏅ ᎾᏍᎩ ᏧᏬᏪᎳᏅᎯ.
28-00	ᎠᏯᏙᎸ 28
28-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᏂᎭ ᎤᎾᏓᏂᏜᏅᎢ ᎾᏍᎩ ᎤᎾᏓᏟᏌᎲᎩ ᎠᎴ ᎠᏰᎵ ᏚᎾᏙᏢᏒ ᏗᎳᏏᏙᏗ ᎾᎿ ᎾᏍᎩᏃ ᏚᏳᎪᏛᎩ ᎠᎴ ᏙᎯ ᏧᎾᏕᏗᎢ ᎦᏌᏙᏴ ᎦᎧᏅᎩ ᎾᎿᎢ ᎯᎠ ᏗᎦᏃᏣᎳᏅᎢ ᎾᏉᏃ ᎧᎵᎢ ᎠᏕᎳᎰᏒᎢ.
29-00	ᎠᏯᏙᎸ 29
29-01	ᏂᎦᏛ ᎠᏂᏴᏫ ᎢᏳᏛᏁᏗ ᎤᏂᎲᎩ ᎾᏍᎩ ᎤᏂᏚᏒᎩ ᎾᎿᎢ ᎾᏍᎩᏃ ᎤᏩᏒ ᏄᏚᏓᎸᎾ ᎠᎴ ᎠᎧᎵ ᏚᎾᏠᎷᏩᏛᎲ ᎤᏩᏒᎯᏊᏃ ᎤᏤᎵ ᎾᏍᎩ ᎮᎵᏊ ᏱᎬᏩᎵᏍᏙᏗ.
29-02	ᎾᏍᎩᏃ ᎠᏅᏗᏍᎬ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎢᏳᎾᏛᏁᏗ ᎠᎴ ᏙᎯ ᏧᎾᏕᏗᎢ, ᏂᎦᏛ ᎠᏂᏴᏫ ᎤᎾᎵᏍᎦᏍᏛ ᎾᏍᎩ ᏕᎫᎪᏔᏅ ᏗᎧᎿᏛᏍᏗ ᎤᏅᏒᎯᏳ ᎾᏍᎩᎾ ᎢᏳᏰᎸᏛ ᎦᎶᏐᎲᏍᎩ ᎤᏩᏌ ᎢᏳᏍᏗ ᏗᎦᏂᏴᏙᏗ ᏂᏗᎦᎵᏍᏙᏗᏍᎬ ᏗᏓᏂᎸᏨᎩ ᎠᎴ ᎪᎯᏳᏗ ᎾᏍᎩᎾ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎠᎴ ᏙᎯ ᏧᎾᏕᏗᎢ ᎾᏍᎩ ᏐᎢ ᎠᎴ ᏓᎾᏠᏍᎬᎩ ᎾᏍᏉ ᎠᏎᎢ ᎢᏯᏛᏁᏗ ᎾᏍᎩ ᏚᏳᎪᏛ ᎢᏯᏛᏗ, ᏴᏫ ᎠᏓᏅᏫᏍᏗᏍᎩ ᎠᎴ ᎾᏍᎩ ᏂᎦᏓᏊ ᎤᎾᎵᏍᏕᎸᏔᏂᏓᏍᏗ ᎾᎿᎢ ᏴᏫ ᎤᎾᏤᎵᏛ ᎤᎾᏙᏢᎯ.
29-03	ᎯᎠ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎠᎴ ᏙᎯ ᏧᎾᏕᏗᎢ ᎡᎵᏊ ᎾᎿ Ꮭ ᏳᏂᎮᏍᏗ ᎠᏓᏱᎵᏓᏍᏗ ᎤᏅᏗᏍᎬᎩ ᎠᎵᏍᎦᏁᏍᎩ ᎾᏍᎩ ᏅᏰᎸᏛ ᎠᎴ ᎤᎾᎵᏍᎪᎵᏴ ᎾᏍᎩ ᎤᎾᎢ ᎤᎾᏓᏚᏕᏫᏛ ᎠᏰᎵ ᏚᎾᏙᏢᏒ.
30-00	ᎠᏯᏙᎸ 30
30-01	ᎯᎠ ᏂᎬᎾᏅ ᏗᎦᏃᏣᎳᏅᎢ ᎡᎵᏊ ᏯᎾᏁᏢᏓ ᎾᏍᎩ ᎾᏁᎵᏍᎬᎩ ᎾᏍᎩᎾ ᏂᎦᎥ ᏍᎦᏚᎩ, ᎤᎾᏓᏟᏌᎲ ᎠᎴ ᎩᎶᏉ ᏂᎦᎥ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᏓᎾᏓᏁᏤᏗ ᎾᎿ ᏂᎦᎥ ᎠᎵᏂᎬᏁᏗᎢ ᎠᎴ ᎾᏍᎩᏃ ᎤᏂᎲ ᎾᏍᎩ ᏚᏳᎪᏛ ᎢᏯᏛᏁᏗ ᎠᎴ ᏙᎯ ᎠᏕᏗᎢ ᎦᎧᏅ ᎠᎭᏂᏉ ᎾᎢ ᏂᎦᎥ ᏗᎬᎪᏔᏅ ᎢᏯᏛᏁᏗ ᎾᏍᎩ ᎤᏂᏲᏍᏙᏗᎢ.
