00-00	ᓯᓚᕐᔪᐊᕐᒥᐅᑦ ᓇᓗᓇᐃᖅᓯᐅᑎᖓ ᑭᓇᒃᑯᑐᐃᓐᓇᐃᑦ ᐱᔪᓐᓇᐅᑎᖏᑦ
11-01	ᑕᕝᕙᙵᑦᓴᐃᓐᓇᖅ ᖃᓄᐃᓕᔭᐅᒋᐊᕈᑎᓕᐅᖅᑐᖃᖅᑐᒃᓴᐅᙱᓚᖅ ᐱᕋᔭᐃᓂᕋᕈᑎᓂᒃ ᑎᒍᔭᐅᓂᐊᕈᑎᒃᓴᖓᓂᒃ ᓱᓕᓪᓚᕆᖕᓂᕋᐃᓗᑎᒃ ᐃᖅᑲᖅᑐᐃᔪᒃᓴᐅᙱᓚᑦ ᑕᑎᒋᓗᒋᑦ ᓇᓪᓕᐊᑐᐃᓐᓇᐃᑦ ᐱᖁᔭᐅᔪᑦ ᐅᕝᕙᓗ ᑭᖕᒍᕙᕆᐊᖅᑎᑕᐅᓂᒃᑯᑦ ᐱᖁᔭᕐᔪᐊᓕᐅᕐᓯᒪᙱᑦᑐᓂᒃ ᐊᑐᕐᓂᕐᓗᐃᔪᖃᖅᑐᒃᓴᐅᙱᓚᖅ, ᓇᓂᑐᐃᓐᓇᖅ ᓄᓇᒋᔭᐅᔪᒥ ᐅᖃᕐᓯᒪᓂᖏᑎᒍᑦ ᐅᕝᕙᓘᓐᓃᑦ ᓯᓚᕐᔪᐊᕐᒥᐅᑦ ᐱᖁᔭᖓᒍᑦ, ᑕᐃᒪᓕ ᐊᖏᖅᑕᐅᓯᒪᒻᒪᕆᓕᕐᐸᑦ. ᐃᓅᑦᑎᐊᙱᓐᓂᖓᒍᓪᓗ  ᑎᓕᐅᕈᑕᐅᓕᕐᓗᓂ ᐱᔪᒃᓴᐅᙱᓚᑦ ᑖᓐᓇ ᑭᓯᐊᓂ ᐱᔾᔪᑎᓪᓚᕆᐅᓯᒪᔪᖅ ᓵᔾᔪᑎᒋᓯᒪᓗᒍ ᐱᕋᔭᐃᓂᕋᕈᑕᐅᓯᒪᔪᖅ ᐊᖏᕈᑕᐅᓯᒪᑎᓪᓗᒍ.
12-00	ᐃᓚᖓ 12.
12-01	ᑐᕌᖓᑎᑦᑎᔪᖃᖅᑐᒃᓴᐅᙱᓚᖅ ᐃᑲᔪᖅᑐᐃᔾᔪᑎᒧᑦ ᕿᐸᓇᖅᓯᐅᑎᒐᔭᙳᐊᖅᑐᒧᑦ ᓇᖕᒥᓂᖅ ᐃᓅᓯᖓᓄᑦ, ᐃᓚᖏᓐᓄᑦ, ᐊᖏᕐᕋᖓᓄᑦ ᐅᕝᕙᓘᓐᓃᑦ ᑎᑎᕋᕐᓯᒪᔪᒃᑑᖅᓂᒃᑯᑦ, ᐅᐸᒃᑐᐃᔪᖃᖅᑐᒃᓴᐅᖏᓚᕐᓗ ᓇᕐᓱᐊᖑᓂᖓᒍᑦ ᐅᕝᕙᓗ ᐃᓄᑦᑎᐊᕙᖁᑎᒋᔭᐅᔾᔪ ᑎᖓᓄᑦ. ᑭᓇᒃᑯᑐᐃᓐᓇᓕᒫᑦᑎᐊᖅ ᐱᔪᓐᓇᐅᑎᖃᕐᐳᑦ ᓴᐳᒻᒥᔭᐅᑎᖃᓂᕐᒧᑦ ᐱᖁᔭᒥᑦ ᐊᑭᕋᖃᕈᑕᐅᓕᕐᓗᓂ ᑕᒪᐅᓇᑐᐃᓐᓇᖅ, ᕿᐸᓕᖅᑎᑕᐅᓗᓂ ᐅᕝᕙᓖᓐᓃᑦ ᐅᐸᒃᑐᖅᑕᐅᓂᒃᑯᑦ.
13-00	ᐃᓚᖓ 13.
13-00	ᑭᓇᒃᑯᑐᐃᓐᓇᓕᒫᑦᑎᐊᑦ ᐱᔪᓐᓇᐅᑎᖃᕐᐳᑦ ᐃᓱᒪᕐᓱᕈᓐᓇᐅᑎᒧᑦ ᐊᐅᓚᔭᕈᕐᓂᕐᒧᑦ ᐊᒻᒪᓗ ᐊᖏᕐᕋᖃᖃᑕᐅᔪᓐᓇᕐᓂᕐᒧᑦ ᑭᒃᓕᓕᐅᖅᑕᐅᓯᒪᔪᓂ ᐊᑐᓂᑦ ᓄᓇᖃᖅᕕᐅᔪᓂ.
13-01	ᑭᓇᒃᑯᑦᑐᐃᓐᓇᑦᑎᐊᑦ ᐱᔪᓐᓇᐅᑎᖃᕐᐳᑦ ᕿᒪᐃᔪᓐᓇᕐᓂᕐᒥᒃ ᓄᓇᒥᒃ, ᐱᖃᓯᐅᑎᓪᓗᒍᓗ ᓇᖕᒥᓂᒃ ᓄᓇᒋᔭᒥᓂᒃ, ᐊᒻᒪᓗ ᐅᑎᕈᓐᓇᐃᓐᓇᕐᓗᓂ ᓇᖕᒥᓂᖅ ᑭᓇᒃᑯᑐᐃᓐᓇᐃᑦ ᓄᓇᓪᓚᕆᖕᒥᓄᑦ.
14-00	ᐃᓚᖓ 14.
14-00	ᑭᓇᒃᑯᑐᐃᓐᓇᓕᒫᑦᑎᐊᑦ ᐱᔪᓐᓇᐅᑎᖃᕐᐳᑦ ᕿᓂᕐᓴᐃᓂᕐᒥᒃ ᐊᒻᒪᓗ ᖁᕕᐊᓲᑎᖃᕐᓂᕐᒥᒃ ᐊᓯᒥ ᓄᓇᖏᓐᓂ ᐊᔪᖅᓴᓗᐊᕐᓂᕐᒧᑦ ᐃᓅᔾᔪᑎᒃᓴᐅᓇᔭᖅᑐᒧᑦ ᓂᑲᒋᙱᓗᐊᕐᖢᒍ ᐊᓄᓪᓚᒃᑎᑕᐅᒋᐊᖅᓂᑰᓂᕐᒥᑦ.
14-01	ᑖᓐᓇ ᐱᔪᓐᓇᐅᑎ ᐃᑲᔪᖅᑐᐃᔾᔪᑎᓕᐅᖅᓯᒪᙱᑐᐃᓐᓇᕆᐊᓕᒃ ᖃᓄᐃᓕᓯᒪᔪᖃᕐᑎᓪᓗᒍ ᐊᓄᓪᓚᒃᓯᖅᑎᑦᑎᓇᓱᐊᕐᑐᒧᑦ ᑕᒫᓂᑐᐃᓐᓇᖅ ᓴᖅᑭᓚᕿᓗᓂ ᒐᕙᒪᓕᐅᕈᑎᓕᐊᖑᓯᒪᙱᑦᑐᒥᑦ ᐱᖁᔭᓂᒃ ᓱᕋᐃᕐᓄᑦ ᐅᕝᕙᓘᓐᓂᑦ ᐱᖁᔭᓂᑦ ᑭᒡᓗᕐᒧᖔᖅ ᐱᔾᔪᑎᖃᕐᓗᓂ ᐊᒻᒪᓗ ᓱᕌᖓᓂᐅᓂᐊᖅᑐᑎᒍᑦ ᑖᒃᑯᑎᒎᓇᖅ ᐃᓅᖃᑎᒌᑦᑎᐊᕐᑎᑦᑎᔨᐅᓇᓱᐊᖅᑎᓄᑦ ᑲᑐᔾᔨᔨᐅᔪᑦ ᓯᓚᕐᔪᐊᕐᒥᐅᓄᑦ.
15-00	ᐃᓚᖓ 15.
15-00	ᑭᓇᓪᓗᑐᐃᓐᓇᓕᒫᑦᑎᐊᑦ ᐱᔪᓐᓇᐅᑎᖃᕐᐳᑦ ᑭᓲᓂᕐᒥᒍᑦ (ᓲᕐᓗ ᐃᓅᓂᒃᑯᑦ, ᐊᓪᓚᐅᓂᒃᑯᑦ).
15-01	ᐊᖅᓵᖅᑕᐅᑐᐃᓐᓇᕆᐊᖃᖅᑐᒃᓴᐅᙱᓚᖅ ᑭᓇᑐᐃᓐᓇᑦᑎᐊᖅ ᐊᖑᑎᐅᑉ ᐅᕝᕙᓘᓐᓃᑦ ᐊᕐᓇᐅᑉ ᑭᓲᓂᖓᒍᑦ ᓴᒡᓗᕿᑦᑎᓯᒪᔪᖃᖅᑐᒃᓴᐅᙱᓚᕐᓗ ᐱᔪᓐᓇᐅᑎᖓ ᐊᓯᔾᔨᕐᓗᒍ ᐊᖑᑎᐅᑦ ᐅᕝᕙᓪᓘᓐᓃᒃ ᐊᕐᓇᐅᑉ ᑭᓲᓂᕐᒐᓄᑦ.
16-00	ᐃᓚᖓ 16.
16-00	ᐊᖑᑎᒃ ᐊᒻᒪᓗ ᐊᕐᓇᐃᑦ ᐃᓂᕐᓯᒪᓕᕐᑐᑦ ᐊᕐᕌᒍᒥᓂ, ᑭᒡᓕᓕᐅᖅᑕᐅᓯᒪᔪᒃᓴᐅᙱᓚᑦ ᐃᓅᖃᕐᕐᓂᐊᖅᑕᐅᓂᕐᒥᒍᑦ ᐊᐅᖃᑎᒋᙱᒧᑦ, ᑭᓲᓂᖓᒍᑦ ᐅᕝᕙᓘᓐᓃᑦ ᒪᓕᖕᓂᕐᒥᒍᑦ ᑐᑭᓯᐊᕐᕕᖕᒥᓂᒃ, ᐱᔪᓐᓇᐅᑎᖃᕐᐳᑦ ᐊᐃᑉᐸᖅᑖᕈᓐᓇᕐᓂᕐᒧᑦ ᐊᒻᒪᓗ ᐃᓚᓂᒃᑐᕈᓐᓇᕐᖢᑎᒃ. ᐃᓱᒪᖅᓱᕈᓐᓇᕈᑎᖃᕐᐳᑦ ᐊᔾᔨᐅᑐᐃᓐᓇᕐᓗᑎᒃ ᐱᔪᓐᓇᐅᑎᓄᑦ ᑲᑎᑎᑕᐅᔪᓐᓇᕐᓂᕐᒧᑦ, ᐊᐃᑉᐸᖅᑖᕐᓯᒪᓂᕐᒥᒍᑦ ᑲᑎᑎᑕᐅᒪᓪᓗᓂ ᐊᒻᒪᓗ ᐊᕕᑦᑎᓯᒪᓂᖓᓂ.
16-01	ᑲᑎᑎᑕᐅᕕᖃᕈᓐᓇᕋᔭᕐᖢᓂ ᑭᓯᒥ ᐊᑦᑐᖏᖅᑕᐅᒪᙱᓐᓂᒃᑯᑦ ᑕᒪᑐᒧᖓ ᐊᒻᒪᓗ ᑕᒪᐃᑎᒍᑦ ᐊᖏᖅᑕᐅᒪᐅᑎᖃᑦᑎᐊᕈᓂ ᐊᐃᑉᐸᓂᒍᒪᓐᓂᑐᐊᕈᓂ.
16-02	ᐃᓚᒌᑦ ᐱᓪᓚᑦᑖᖑᖕᒪᑕ ᐊᒻᒪᓗ ᑐᙵᕕᐅᓪᓗᑎᒃ ᐃᓅᖃᑎᒌᓄᑦ ᐊᑕᐅᓯᐅᓕᖓᐅᑎᐅᖕᒪᑕ ᐃᓅᓯᕐᒧᑦ ᐊᒻᒪᓗ ᓴᐳᒻᒥᔭᐅᑎᖃᕈᓐᓇᕐᓂᒃᑯᑦ ᐃᓅᖃᑎᒥᒃᑐᑎᒍᑦ ᓄᓇᒥᒃᑎᒍᓪᓘᓐᓃᑦ.
17-00	ᐃᓚᖓ 17.
17-00	ᑭᓇᒃᑯᑐᐃᓐᓇᓕᒫᑦᑎᐊᖅ ᓇᖕᒥᓂᖃᖅᑐᒃᓴᐅᑎᐅᔪᓐᓇᖅᐳᑦ ᓄᓇᒥᒃ ᐃᓄᑑᑎᓗᒍ ᑕᒪᑐᒨᓇᓘᓐᓃᑦ ᑯᑐᔾᔨᖃᑎᖃᖅᓂᒃᑯᑦ ᐊᓯᑎᒍᑦ.
17-01	ᐊᖅᓵᖅᑕᐅᑐᐃᓐᓇᕆᐊᖃᖅᑐᒃᓴᐅᙱᓚᖅ ᑭᓇᑐᐃᓐᓇᑦᑎᐊᖅ ᐊᖑᑎᐅᑦ ᓇᖕᒥᓂᕆᔭᖓᓂᒃ.
18-00	ᐃᓚᖓ 18.
18-01	ᑭᓇᒃᑯᑐᐃᓐᓇᑦᑎᐊᑦ ᐱᔪᓐᓇᐅᑎᖃᕐᐳᑦ ᐃᓱᒪᖅᓱᕈᑎᖃᕐᖢᑎᒡᓗ ᐃᓱᒪᓂᕐᒥᒃ, ᐅᔾᔨᖅᓴᕐᓂᕐᒥᒃ ᐊᒻᒪᓗ ᑐᒃᓯᐊᕐᕕᒋᕙᒃᑕᒥᓂᒃᒥᓂᒃ; ᑖᓐᓇᓗ ᐱᔪᓐᓇᐅᑎ ᐱᖃᓯᐅᔾᔨᓯᒪᒋᓪᓗᓂ ᐃᓱᒪᖅᓱᕈᓐᓇᕐᓂᕐᒥᒃ ᐊᓯᐊᓄᑦ ᑐᒃᓯᐊᕆᐊᕐᕕᖃᕈᒪᓕᕈᓂ ᐅᕝᕙᓘᓐᓃᑦ ᐅᒃᐱᕐᕕᖃᕈᒪᓕᕈᓂ, ᐊᒻᒪᓗ ᓇᓂᑐᐃᓐᓇᖅ ᐅᕝᕙᓘᓐᓃᑦ ᐃᓄᑑᔾᔨᓗᓂ, ᐊᑐᕈᒪᒍᓂᐅᒃ ᑐᒃᓯᐊᕐᕕᒋᔭᒥᒍᑦ ᐅᕝᕙᓘᓐᓃᑦ ᐅᒃᐱᕐᓂᕆᔭᒥᒍᑦ ᐃᓕᓐᓂᐊᖅᑎᑦᑎᓂᒃᑯᑦ, ᐱᔭᕆᐅᖅᓴᐃᓂᒃᑯᑦ, ᓂᕐᓱᐃᓂᒃᑯᑦ ᐊᒻᒪᓗ ᓇᐅᑦᑎᖅᓱᐃᓂᒃᑯᑦ.
19-00	ᐃᓚᖓ 19.
19-01	ᑭᓇᒃᑯᑐᐃᓐᓇᑦᑎᐊᑦ ᐱᔪᓐᓇᐅᑎᖃᕐᐳᑦ ᐃᓱᒪᖅᓱᕈᓐᓇᐅᑎᖃᕐᖢᑎᒡᓗ ᐃᓱᒪᓕᐊᕆᓯᒪᔭᑎᑦ ᐊᒻᒪᓗ ᐅᖃᓪᓚᐅᑎᒋᓯᒪᔭᕐᓄᑦ; ᑕᒪᓐᓇ ᐱᔪᓐᓇᐅᑎᐅᔪᖅ ᐱᖃᓯᐅᔾᔨᓱᒪᒋᕗᖅ ᐃᓱᒪᖅᓱᕈᓐᓇᕐᓂᕐᒥᒃ ᐃᓱᒪᓕᐊᕆᓯᒪᔭᑎᒍᑦ ᓄᖅᑲᖅᑎᑕᐅᙱᓪᓗᓂ ᐊᒻᒪᓗ ᑭᓂᕐᓴᖅᑕᐅᙱᓪᓗᓂ, ᐱᓗᒍ ᐊᒻᒪᓗ ᑐᓴᖅᑎᑦᑎᔪᓐᓇᕐᓂᒃᑯᑦ ᐊᒻᒪᓗ ᐃᓱᒪᒋᔭᐅᓯᒪᔪᑎᒍᑦ ᓇᓪᓕᐊᒃᑯᑐᐃᓐᓇᖅ ᑐᓴᕈᓐᓇᐅᑎᑎᒍᑦ ᐊᒻᒪᓗ ᑕᒪᒃᑯᐊ ᓱᖁᑎᒋᙱᓪᓗᒋᑦ ᓴᐳᒻᒥᔭᐃᔨᐅᓇᓱᐊᖅᑐᑦ.
20-00	ᐃᓚᖓ 20.
20-00	ᑭᓇᒃᑯᑐᐃᓐᓇᑦᑎᐊᑦ ᐱᔪᓐᓇᐅᑎᖃᕐᐳᑦ ᐃᓱᒪᖅᓱᕈᓐᓇᕐᓂᕐᒧᑦ ᓴᐃᓕᒪᑎᑦᑎᐊᕋᓱᐊᕐᓂᕐᒧᑦ ᑲᑎᒪᕐᔪᐊᕐᓂᕐᒥ ᑲᑐᔾᔨᖃᑎᒌᖕᓂᒃᑯᓪᓗ.
20-01	ᑭᓇᑐᐃᓐᓇᕐᒥᒃ ᐅᐸᓘᒪᓇᖅᑐᕐᓱᖅᑎᑦᑎᔪᖃᖅᑐᒃᓴᐅᙱᓚᖅ ᐊᑕᕕᖃᕐᓂᐅᓕᖁᓪᓗᒍ ᑲᑐᔾᔨᖃᑎᒌᒡᕕᐅᔪᒧᑦ.
21-00	ᐃᓚᖓ 21.
21-00	ᑭᓇᒃᑯᑐᐃᓐᓇᑦᑎᐊᑦ ᐱᔪᓐᓇᐅᑎᖃᕐᐳᑦ ᐃᓚᐅᔪᓐᓇᕐᓂᕐᒥᒃ ᒐᕙᒪᒧᑦ ᐊᖑᑎᐅᑉ ᐅᕝᕙᓘᓐᓃᑦ ᐊᕐᓇᐅᑉ ᓄᓇᒋᔭᒥᓂ, ᑐᕌᖓᓪᓚᕆᒃᑐᒥᒃ ᐅᕝᕙᓗ ᐃᓱᒪᒋᓯᒪᔭᒥᓂᒃ ᐃᓱᒪᖅᓱᑦᑎᐊᕐᓗᓂ ᓂᕈᐊᕐᓯᓯᒪᔪᒃᓴᐅᓂᕐᒧᑦ ᑭᒡᒐᖅᑐᐃᔨᐅᔪᓂᒃ.
21-01	ᑭᓇᒃᑯᑐᐃᓇᑦᑎᐊᑦ ᐱᔪᓐᓇᐅᑎᖃᕐᐳᑦ ᐊᔾᔨᑐᐃᓐᓇᐅᓗᑎᒃ ᐱᕕᒃᓴᐅᑕᐅᔪᓂᒃ ᓇᓂᑐᐃᓐᓇᖅ ᑭᒡᒐᖅᑐᐃᔾᔪᑎᓄᑦ ᐊᖑᑎᐅᑉ ᐅᕝᕙᓘᓐᓃᑦ ᐊᕐᓇᐅᑉ ᓄᓇᒋᔭᒥᓂ.
21-02	ᐱᔪᒪᔭᒥᒃᑎᒍᑦ ᑭᓇᒃᑯᑐᐃᓐᓇᐃᑦ ᑐᙵᕕᖃᑦᑎᐊᖅᑐᒃᓴᐅᕗᑦ ᐊᔪᙱᕝᕕᖃᕐᓂᕐᒥᒃ ᒐᕙᒪᒧᑦ; ᐅᖃᓪᓚᐅᑕᐅᓪᓚᑦᑏᖅᑐᒃᓴᐅᕙᖅ ᖃᖓᑐᐃᓐᓇᖅ ᓂᕈᐊᕐᓂᖃᓪᓚᑦᑏᖅᑎᓪᓗᒍᓗ ᓯᓚᕐᔪᐊᕐᒥᐅᓕᒦᓂ ᐊᒻᒪᓗ ᐊᔾᔨᐅᔪᒥᒃ ᓂᕈᐊᕈᓐᓇᕐᕕᖃᕐᓗᓂ ᐊᒻᒪᓗ ᑕᑯᔭᐅᑦᑕᐃᓕᕐᕆᐊᕐᓗᓂᕐᑦᑎᐅᖅ ᓂᕈᐊᑦᑕᒥᓂᒃ ᓂᕈᐊᖅᕕᖃᖅᑎᑕᒃᓴᐅᔪᖅ ᐅᕝᕙᓘᓐᓃᑦ ᐊᔾᔨᖅᓱᖃᑕᐅᔪᒥᒃ ᐃᓱᒪᖅᓱᕐᕕᖃᖅᑐᒃᓴᐅᔪᖅ ᓂᕈᐊᕐᓂᕐᒧᑦ ᐱᒋᐊᕈᑎᓕᐊᕆᓯᒪᔪᓕᒫᒃᑯᑦ.
22-00	ᐃᓚᖓ 22.
22-01	ᑭᓇᒃᑯᑐᐃᓐᓇᑦᑎᐊᑦ, ᐃᓚᒋᔭᐅᔪᖅ ᐃᓅᖃᑎᒥᓄᑦ, ᐱᔪᓐᓇᐅᑎᖃᕐᐳᖅ ᐃᓅᓰᕐᒧᑦ ᖃᓄᐃᕈᔪᒃᑕᐃᓕᔾᔪᑎᒧᑦ ᐊᒻᒪᓗ ᐃᔾᔨᕆᔭᐃᑦᑎᐊᕆᐊᖃᖅᑐᒃᓴᐅᓪᓗᓂᓗ, ᓇᓂᑐᐃᓐᓇᖅ ᓄᓇᖃᖅᓂᓕᒥᒃᒃᑯᑦ ᐃᑲᔪᖅᑐᐃᔾᔪᑕᐅᔭᓄᑦ ᐊᒻᒪᓗ ᓯᓚᕐᔪᐊᕐᒥᐅᓄᑦ ᑲᑐᔾᔨᖃᑎᒌᖕᓂᒃᑯᑦ ᐊᒻᒪᓗ ᒪᓕᒃᓗᒋᑦ ᑲᑐᔾᔨᖃᑎᒌᒡᕕᐅᔪᒧᑦ ᐊᒻᒪᓗ ᐃᑲᔪᖅᑐᐃᔾᔪᑕᐅᔪᓂᒃ ᐊᒻᒪᓗ ᐃᓕᖅᑯᓯᑐᖃᓕᕆᐅᑎᓄᑦ ᐱᔪᓐᓇᐅᑎᓄᑦ ᓱᑕᐃᕐᕕᖃᖅᑎᑦᑎᔪᖃᖅᑐᒃᓴᐅᙱᓗᖅ ᐊᖑᑎᐅᑦ ᓈᓚᒃᑕᐅᔾᔪᑎᒃᓴᖓᓂᒃ ᐊᒻᒪᓗ ᐃᓱᒪᕐᓱᕐᓗᓂ ᐱᕙᓪᓕᐊᑎᕆᓂᕐᒥᒃ ᐊᖑᑎ ᓇᖕᒥᓂᕐᓱᐊᕆᔪᒪᔭᒥᓂᒃ.
23-00	ᐃᓚᖓ 23.
23-00	ᑭᓇᒃᑯᑐᐃᓐᓇᑦᑎᐊᑦ ᐱᔪᓐᓇᐅᑎᖃᕐᐳᑦ ᓴᓇᔭᒃᓴᖃᕈᒪᓂᕐᒧᑦ, ᐃᓱᒪᕐᓱᕐᓗᑎᒃ ᓂᕈᐊᕆᔭᒥᓂᒃ ᓴᓇᕕᒃᓴᕆᔪᒪᔭᒥᓂᑦ, ᐃᓕᑐᐃᓐᓇᕐᓂᒃᑯᑦ ᐊᒻᒪᓗ ᐱᒃᑯᒥᒋᔭᖃᖅᓂᕐᓴᐅᓂᒃᑯᑦ ᖃᓄᐃᓐᓂᖓ ᓴᓇᔭᒃᓴᐅᑉ ᐊᒻᒪᓗ ᓴᐳᒻᒥᔭᐅᑎᖃᕆᐊᖃᕐᓂᒃᑯᑦ ᓴᓇᕕᒃᓴᖃᙵᓗᐊᖃᑦᑕᕐᓂᙱ ᐱᓪᓗᒍ.
23-01	ᑭᓇᒃᑯᑐᐃᓐᓇᑦᑎᐊᑦ, ᓇᓪᓕᐊᖕᓄᑐᐃᓐᓇᖅ ᐃᓅᖃᓐᓂᐊᖅᑐᖃᖅᑐᒃᓴᐅᙱᓗᖅ, ᐱᔪᓐᓇᐅᑎᖃᕐᒪᑦ ᐊᔾᔨᐅᑎᑕᐅᑦᑎᐊᕐᑐᒥᒃ ᐊᑭᓕᖅᓱᐊᖑᓂᕐᒧᑦ ᐊᒻᒪᓗ ᐊᔾᔨᖅᓲᔾᔭᐅᓗᓂ ᓴᓇᕕᖃᕈᓐᓇᕐᓂᕐᒧᑦ.
23-02	ᑭᓇᒃᑯᑐᐃᓐᓇᑦᑎᐊᑦ ᓴᓇᕕᖃᖅᑐᑦ ᐱᔪᓐᓇᐅᑎᖃᕐᐳᑦ ᐃᓕᑐᐃᓐᓇᕐᓂᒃᑯᑦ ᐊᒻᒪᓗ ᐱᒃᑯᒥᒋᔭᖃᖅᓂᕐᓴᐅᓂᒃᑯᑦ ᖁᔭᓕᐅᑎᑐᖃᕐᓂᒃᑯᑦ ᓇᓗᓇᐃᓕᑎᑕᐅᓯᒪᔾᔪᑎᒋᓂᐊᕐᒪᒍᑦ ᓇᖕᒥᓂᖅ ᐊᒻᒪᓗ ᐊᖑᑎᐅᑉ ᐃᓚᓂ ᐊᑑᑎᖃᓪᓚᑦᑏᖅᑐᖁᑎᒋᓂᕐᒥᒍᑦ ᐃᓅᓯᒃᑯᑦ ᓈᓚᒃᑕᐅᔪᓐᓇᕐᓂᖃᕐᓗᓂ, ᐊᒻᒪᓗ ᐱᑎᑕᐅᓯᒪᔪᓐᓇᕐᓂᒃᑯᑦ, ᐱᔭᕆᐊᖃᕐᓂᑐᐊᕐᐸᑦ, ᐊᓯᑐᒍᑦ ᑐᕇᖓᓂᖃᕐᑎᓪᓗᒍ ᐃᓅᓯᕐᒧᑦ ᓴᐳᒻᒥᔭᐅᑎᖃᕆᐊᖃᕐᓂᕐᒧᑦ.
23-03	ᑭᓇᒃᑯᑐᐃᓐᓇᑦᑎᐊᑦ ᐱᔪᓐᓇᐅᑎᖃᕐᐳᑦ ᓴᓇᒪᓂᒃᑯᑦ ᐊᒻᒪᓗ ᑲᑐᑎᓪᓗᒍ ᑕᐅᕐᓲᓂᒃᑯᑦ ᐊᑕᐅᓯᐅᓕᖓᔾᔪᑎᐅᔪᓄᑦ ᓴᐳᒻᒥᔭᐅᑎᐅᖁᓪᓗᒍ ᐊᖑᑎᐅᑉ ᐅᕝᕙᓘᓐᓃᑦ ᐊᕐᓇᐅᑉ ᐱᒃᑯᒥᒋᔭᖏᓐᓄᑦ.
