00-00	ᐯᒪᑎᓯᑦ ᑌᐸᑫᑕᑯᓯᐎᓇᓐ ᒥᓯᐌᑲᒥᒃ ᐎᓐᑕᒪᑫᐎᓐ
20-00	ᑲᑭᓇᐌᓀᓐ ᐅᑕᔭᓐ ᑌᐸᑫᑕᑯᓯᐎᓐ ᒪᐗᒋᐃᑎᐎᓂᒃ ᒋᑭᐊᔭᐗᑦ ᐱᓴᓂᓱᐎᓐ ᑲᔦ ᐃᒪ ᑲᐃᔑ ᐗᐎᒋᐎᑎᓇᓂᐗᒃ ᑫᑯᓇᓐ.
20-01	ᑲᐃᔑ ᐗᐎᒋᐎᑎᓇᓂᐗᒃ ᑫᑯᓇᓐ ᑲᐃᔑᒋᑲᓂᐗᒃ ᐅᒪ ᐊᑭᒃ ᑲᐎᓐ ᐊᐎᔭ ᒋᐃᔑᑲᑴ ᔕᑯᒋᐃᑦ ᒋᑕᑶᑲᓱᐎᑦ.
21-00	ᐅᔑᐱᐃᑲᓐ ᓂᔥᑕᓇᔑᐯᔑᒃ
21-00	ᑲᑭᓇᐌᓀᓐ ᐅᑕᔭᓐ ᑌᐸᑫᑕᑯᓯᐎᓐ ᑲᐃᔑᐅᑕᑭᒋᑦ ᑫᐎᓐ ᒋᐎᒋᑡᑦ ᐅᑭᒪᐅᓂᒃ, ᑾᔭᒃ ᐃᑯ ᒪᑭᔕ ᑲᔦ ᐎᓐ ᐃᑯ ᑲᐃᔑᐅᓀᓂᒪᑦ ᒋᐎᑐᑲᐗᑦ ᑲᐅᑭᒪᐅᓂ ᐊᓄᑭᓂᒋᓐ.
21-01	ᑲᑭᓇᐌᓀᓐ ᐅᑕᔭᓐ ᑌᐸᑫᑕᑯᓯᐎᓐ ᑲᐃᔑ ᐅᑕᑭᒋᓇᓂᐗᒃ ᒋᐅᑎᓂᑫᐸᓐ ᑫᐎᓐ ᑲᐃᔑ ᐗᐎᒋᐃᑎᓇᓂᐗᓂᒃ ᑫᓇᓐ.
21-02	ᑲᐅᑭᒪᐗᑎᓯᑦ ᐅᑐᓇᑭᓱᐎᓐ ᑕᐅᒋᑭᑫᑕᑾᓐ ᐊᓂᔑᓂᓂᐗᓐ ᑲᐃᔑ ᐊᑕᐌᑕᒥᓂᒋᓐ, ᒋᑕᔥ ᐅᐌ ᐁᔥᑲᒃ ᑫᑐᑭᑲᑌᒃ ᑾᔭᒃ ᒋᐅᓇᑭᒥᑡ ᑫᐅᑭᒪᐅᑡ ᑲᑭ ᐃᔑᐅᓀᓂᒥᑡ ᒋᐃᔑ ᒪᓇᒋᑭᑫᑕᑾᑭᓐ ᑲᐃᔑᐊᔑᑌᐱᐃᑲᓂᐗᒃ ᒥᓇᐗ ᑲᔦ ᐎᑫ ᐌᐌᓂ ᒋᑐᒋᑲᑌᒃ ᑲᐱᑕᑯᐌᐱᓂᑲᓂᐗᒃ ᐊᔑᑌᐱᐃᑫᐎᓂᓐ.
22-00	ᐅᔑᐱᐃᑲᓐ ᓂᔥᑕᓇᔑᓂᔑᓐ
22-01	ᑲᑭᓇᐌᓀᓐ ᑲᐃᔑᑕᑾᑭᒥᑦ ᐅᒪ ᐊᑭᒃ ᐅᑕᔭᓐ ᑌᐸᑫᑕᑯᓯᐎᓐ ᑫᐎᓐ ᐅᒥᓀᓴᐎᓂᒃ ᒥᓇ ᒋᐃᔑᑭᑫᑕᑯᐃᑦ ᐅᒋ ᒥᓯᐌ ᐅᑲᑴᑲᔥᑭᑐᐎᓐ ᒥᓇ ᒥᓯᐌᑲᒥᒃ ᐅᐎᒋᑡᐎᓐ ᑲᐃᔑᓇᓇᐃᑕᒃ ᒥᓇ ᐃᒪ ᐱᒥᐎᒋᑫᐎᓂᒃ ᑲᑕᓱ ᐊᔭᑭᓐ ᐊᑭᔅᓯ ᑲᓇᓐ ᐅᑕᒋᐃᑎᓱᐎᓂᒃ ᒥᓇ ᑌᐸᑫᑕᑯᓱᐎᓐ ᑲᐃᔑᑭᑌᓂᑕᑾᒃ ᐱᒪᑎᓯᐎᓐ ᒥᓇ ᑲᔦ ᑎᐱᓂᒥᑎᓱᐎᓂᒃ ᒋᐊᓂ ᐅᑉᐱᔥᑲᓂᒃ ᐅᑎᔑᐌᐱᓱᐎᓂᒃ.
23-00	ᐅᔑᐱᐃᑲᓐ ᓂᔥᑕᓇᔑᓂᓯᓐ
23-00	ᑲᑭᓇᐌᓀᓐ ᐅᑕᔭᓐ ᑌᐸᑫᑕᑯᓯᐎᓐ ᒋᑭᐊᓄᑭᐸᓐ, ᐎᓐ ᐃᑯ ᒋᐅᓀᑕᒪᓱᑦ ᐗᑕᓇᓄᑭᑦ, ᑲᔦ ᑫᒋᓇᒃ ᒋᐊᔭᑾᒪᓂᓂᒃ ᒋᑲᓇᐌᑕᑾᒃ ᑲᐊᐃᔑᓇᑾᒃ ᑲᑕᓇᓄᑭᓇᓂᐗᒃ ᒥᓇ ᑲᔦ ᒋᐅᒋ ᑲᓇᐌᓂᒥᑦ ᑲᐅᒋᓯᓄᑭᓐ ᐊᓄᑭᐎᓇᓐ.
23-01	ᑲᑭᓇᐌᓀᓐ ᐅᑕᔭᓐ ᑌᐸᑫᑕᑯᓯᐎᓐ ᐌᐌᓂ ᑾᔭᒃ ᒋᑎᐸᐊᒪᐗᑲᓂᐎᑦ ᐅᑎᓭᐎᓐ ᑲᐃᔑ ᐊᓄᑭᑦ ᑲᔦ ᒋᐅᒋ ᒪᓀᓂᒪᑲ ᓂᐎᓯᒃ.
23-02	ᑭᑲᓇᐌᓀᓐ ᐅᑕᔭᓐ ᑌᐸᑫᑕᑯᓯᐎᓐ ᑲᐊᓄᑭᑦ ᑾᔭᒃ ᒋᑕᑾᑭᒥᑡ ᑲᐃᔑ ᐊᑭᒥᑎᓇᓂᐗ ᐊᓂᓐ ᐁᑕᔑᓇᓂᐗᒃ ᐅᒋ ᑫᐎᓐ ᒥᓇ ᐅᑎᐯᒋᑫᐎᓂᒃ ᑭᒋᐃᓀᑕᑾᓐ ᑫᐎᓇᐗ ᐁᐱᒪᑎᓯᐗᑦ ᒥᓇ ᑭᔥᐱᓐ ᐁᑕ ᐃᔑᓇᑾᒃ ᐸᑲᓐ ᒋᐅᒋ ᓇᑕᒪᐎᑡ ᑲᐅᒋ ᑲᓇᐌᓂᒥᑎᓇᓂᐗᒃ.
23-03	ᑲᑭᓇᐌᓀᓐ ᐅᑕᔭᓐ ᑌᐸᑫᑕᑯᓯᐎᓐ ᒋᑭᑕᑶᐸᓐ ᒥᓇ ᒋᐅᓇᑐᐸᓐ ᑲᐃᔑ ᒪᒪᐎᓄᓇᓂᐗᒃ ᐊᓄᑭᐎᓂᒃ ᒋᐅᒋ ᑲᓇᐌᑕᑾᓂᓂᑭᓐ ᑲᑕᓀᑕᑭᓐ ᒥᓇ ᑲᐃᔑᒥᓉᒋᑫᑦ ᑫᑯᓇᓐ.
24-00	[Missing]
24-01	[Missing]
25-00	[Missing]
25-00	[Missing]
25-01	[Missing]
26-00	[Missing]
26-00	[Missing]
26-01	[Missing]
26-02	[Missing]
27-00	[Missing]
27-00	[Missing]
27-01	[Missing]
28-00	[Missing]
28-01	[Missing]
29-00	[Missing]
29-00	[Missing]
29-01	[Missing]
29-02	[Missing]
30-00	[Missing]
30-01	[Missing]
