00-00	ⴰⵍⵖⵓ ⴰⵎⴰⴹⵍⴰⵏ ⵏ ⵉⵣⵔⴼⴰⵏ ⵏ ⵓⴼⴳⴰⵏ
21-02	ⵜⵉⵔⴰⵜ ⵏ ⵓⴳⴷⵓⴷ ⴰⴷ ⵉⴳⴰⵏ ⴰⴼⴳⴳⴰⴳ ⵏ ⵜⵏⴱⴰⴹⵜ ⵜⴰⴳⴷⵓⴷⴰⵏⵜ, ⵜⵉⵔⴰⵜ ⴰⴷ ⵜⴽⴽ ⴰⵖⴰⵔⴰⵙ ⵏ ⵓⴼⵔⴰⵏ ⵉⵣⴷⴷⵉⴳⵏ ⵏⵏⴰ ⵉⵜⵜⵓⴳⴰⵏ ⴽⵓ ⴰⵣⵎⵣ, ⵙ ⵓⵙⵜⴰⵢ ⴰⵖⵣⵓⵔⴰⵏ ⵉⵎⵙⴰⵙⴰⵏ ⴷ ⵓⵙⵜⴰⵢ ⵉⴼⴼⵔⵏ ⵏⵖ ⴰⴱⵔⵉⴷ ⵜ ⵉⵔⵡⴰⵙⵏ ⵢⵉⴽⴽⵉⵏ ⵜⴰⴷⵔⴼⵉⵜ ⵏ ⵓⵙⵜⴰⵢ
22-00	ⴰⵎⴰⴳⵔⴰⴷ 22
22-01	ⴽⵓ ⵢⴰⵏ ⵉⵍⵍⴰ, ⵖⵉⴽⵍⵍⵉ ⵉⴳⴰ ⵢⴰⵏ ⵓⴼⵔⴷⵉⵙ ⵖ ⵡⴰⵎⵓⵏ, ⴷⴰⵔⵙ ⴰⵣⵔⴼ ⵖ ⵓⵏⴼⵔⵓ ⴰⵏⴰⵎⵓⵏ :ⴰⵣⵔⴼ ⴰⴷ ⵉⴱⴷⴷⴰ ⵅⴼ ⵃⵎⴰ ⴰⴷ ⵜⵉⵍⵉ ⵜⵓⵎⵔⵜ ⵏ ⵉⵣⵔⴼⴰⵏ ⵉⴷⴰⵎⵙⴰⵏⵏ, ⵉⵏⴰⵎⵓⵏⵏ ⴷ ⵉⴷⵍⵙⴰⵏⵏ ⵉⵥⵍⵉⵏ ⵙ ⴰⴷⴷⵓⵔ ⵏⵏⵙ ⴷ ⵓⵙⴱⵓⵖⵍⵓ ⵏ ⵡⵓⴷⵎ ⵏⵏⵙ, ⴰⵢⴰⴷ ⵙ ⵜⴷⵓⵙⵉ ⵜⴰⵏⴰⵎⵓⵔⵜ ⴷ ⵜⵡⵉⵙⵉ ⵜⴰⴳⵔⴰⵖⵍⴰⵏⵜ, ⵏⵏⴰ ⵉⵙⵏⵏⴷⵏ ⵅⴼ ⵓⵙⵏⵎⴰⵍⴰ ⴷ ⵉⵙⵓⴳⵉⵎ ⵏ ⴽⵓ ⵜⴰⵎⵓⵔⵜ.
23-00	ⴰⵎⴰⴳⵔⴰⴷ 23
23-00	ⴽⵓ ⵢⴰⵏ ⵉⵍⵍⴰ ⴷⴰⵔⵙ ⵓⵣⵔⴼ ⵏ ⵜⴰⵡⵓⵔⵉ, ⴷ ⵜⴷⵔⴼⵉⵜ ⵏ ⵓⵙⵜⴰⵢ ⵏ ⵜⴰⵡⵓⵔⵉ ⵏⵏⵙ, ⴳ ⵜⴼⴰⴷⵉⵡⵉⵏ ⵜⵉⵣⵔⴼⴰⵏⵉⵏ ⴷ ⵢⵓⵙⵙⴰⵏ ⵉ ⵜⵡⵓⵔⵉ ⵏ ⵓⴼⵔⴰⴳ ⵎⴳⴰⵍ ⵏ ⵜⴳⵓⴼⵉ.
23-01	ⴽⵓ ⵢⴰⵏ ⵉⵍⵍⴰ ⴷⴰⵔⵙ ⵓⵣⵔⴼ ⵏ ⵓⵎⴳⵉⴷⴷⵉ ⵖ ⵜⵖⵔⴰⴷ ⵏ ⵜⵡⵡⵓⵔⵉ.
23-02	ⴽⵓ ⵢⴰⵏ ⵉⵙⵡⵓⵔⵓⵏ ⴷⴰⵔⵙ ⴰⵣⵔⴼ ⴰⴷ ⵢⴰⵎⵥ ⵜⵉⵖⵔⴰⴷ ⵏⵏⵙ ⵉⵣⵔⴼⵏ ⴷ ⵢⵓⵙⴰⵏ ⵏⵏⴰ ⴰⵙ ⵢⵉⴽⴽⵉⵏ, ⵏⵜⵜⴰ ⴷ ⵜⵡⵊⴰ ⵏⵏⵙ, ⵢⴰⵜ ⵜⵓⴷⵔⵜ ⵉⵍⴰⵏ ⵓⴷⴷⵓⵔ ⴰⵏⴼⴳⴰⵏ, ⵏⵏⴰ ⵎⵎⵉ ⵉⵜⵜⵓⵔⵏⵓ, ⵎⴳ ⵉⵍⵍⴰ ⵓⵏⵏⴳⵣⵓ, ⵉⵎⴰⵙⵙⵏ ⵏ ⵓⴼⵔⴳⴰ ⴰⵏⴰⵎⵓⵏ.
23-03	ⴽⵓ ⵢⴰⵏ ⵉⵍⵍⴰ ⴷⴰⵔⵙ ⵓⵣⵔⴼ ⴰⴷ ⵉⵙⴽⵔ ⵏⵖⴷ ⴰⴷ ⵢⵉⵍⵉ ⴷ ⵉⵏⵎⵓⵍⵍⴰ ⴰⴼⴰⴷ ⴰⴷ ⵢⵉⵍⵉ ⵓⵃⵟⵟⵓ ⵏ ⵡⴰⵢⴰⴷⴰ ⵏⵏⵙ.
24-00	ⴰⵎⴰⴳⵔⴰⴷ 24
24-01	ⴽⵓ ⵢⴰⵏ ⵉⵍⵍⴰ ⴷⴰⵔⵙ ⵓⵣⵔⴼ ⵏ ⵓⵙⵙⵓⵏⴼⵓ, ⵖ ⵜⵉⵣⵉ ⵍⵍⵉ ⵉⵅⵡⴰⵏ, ⴷ ⵎⵏⵛⴽ ⵏ ⵜⵙⵔⴰⴳⵉⵏ ⵏ ⵜⵡⵓⵔⵉ ⴷ ⵓⵙⵙⵏⴼⵓ ⵉⵎⵓⵏ ⴷ ⵜⵖⵔⴰⴷ.
25-00	ⴰⵎⴰⴳⵔⴰⴷ 25
25-00	ⴽⵓ ⵢⴰⵏ ⴷⴰⵔⵙ ⴰⵣⵔⴼ ⵏ ⵓⵙⵡⵉⵔ ⵏ ⵜⵓⴷⵔⵜ ⴰⵙ ⴷ ⵢⵓⵙⴰⵏ ⵉ ⵜⴷⵓⵙⵉ ⵏⵏⵙ, ⴷ ⵜⵓⵎⵔⵜ ⵏⵏⵙ ⴷ ⵜⵉⵏ ⵜⵡⵊⴰ ⵏⵏⵙ, ⵙ ⵓⵙⵜⵜⴰⵢ ⵜⵉⵏ ⵜⵎⵜⵜⵛⴰ, ⴷ ⵉⵃⵔⵓⵢⵏ ⴷ ⵜⵣⴷⵓⵖⵜ ⴷ ⵉⴷⵉⵡⴰⵏ ⴷ ⵜⵏⴰⴼⵓⵜⵉⵏ ⵜⵉⵏⴰⵎⵓⵜⵉⵏ ⵉⵍⴰⵇⵇⵏ, ⴷⴰⵔⵙ ⴰⵣⵔⴼ ⵏ ⵜⵏⴰⴼⵓⵜ ⵎⴳ ⵉⴳⴰ ⴰⵎⴳⵓⴼ ⵏⵖ ⴰⵎⵓⴹⵉⵏ ⵏⵖ ⴰⴽⴽⵓⵛⵎ ⵏⵖ ⵡⵉⵏ ⵜⴷⵢⴰⵍⵜ ⵏⵖ ⵜⵓⵙⵔ ⵏⵖ, ⴳ ⵉⵙⵓⵔⵙⵏ ⵏⵏⵉⴹⵏ, ⵜⵉⵣⵍⵉ ⵏ ⵉⵎⴰⵙⵙⵏ ⵏ ⵜⵓⴷⵔⵜ ⵓⵔ ⵉⵎⵓⵏ ⴷ ⵜⵉⵔⵉⵜ ⵏⵏⵙ.
25-01	ⴰⴷ ⵢⵉⵍⵉ ⴷⴰⵔ ⵜⴰⵣⵣⵏⵜ ⴷ ⵉⵏⵏⴰⵙ ⵢⴰⵏ ⵓⴼⵔⴰⴳ ⴰⵏⴰⵎⵓⵏ ⴰⴷⴰⵡⵙⴰⵏ ⵓⵙⴷⴷⵓⵍ ⴷⴷ ⵜⵡⵉⵣⵉ ⵉⵙⵙⴰⵔⵏ ⵍⵍⵉ ⵉⵙⵏⵎⴰⵍⴰ ⵓⵡⴰⵏⴽ.
26-00	ⴰⵎⴰⴳⵔⴰⴷ 26
26-00	ⴽⵓ ⵢⴰⵏ ⴷⴰⵔⵙ ⵓⵣⵔⴼ ⵏ ⵓⵙⴳⵎⵉ. ⴰⵙⴳⵎⵉ ⴰⴷ ⵢⵉⵍⵉ ⴰⴱⵍⴰ ⴰⵇⴰⵕⵉⴹ ⵉ ⵓⵙⵙⵍⵎⴷ ⴰⴼⴳⴳⴰⴳ ⴷ ⵓⵎⵣⴰⵡⴰⵔⵓ. ⴰⵙⵙⵍⵎⴷ ⴰⵎⵣⵡⴰⵔⵓ ⵉⴳⴰ ⵓⵛⵛⵉⵍ. ⴰⵙⵙⵍⵎⴰⴷ ⴰⵜⵉⵇⵏⵉ ⴷ ⵓⵣⵣⵓⵍⴰⵏ ⴰⴷ ⵉⵙⵙⵡⵓ ⴽⵓ ⵢⴰⵏ : ⴰⴷⴼ ⵙ ⵜⵖⵓⵔⵉⵡⵉⵏ ⵜⵉⵎⴰⵊⵊⵢⴰⵍⵉⵏ ⴰⴷ ⵢⴰⵏⴼ ⵉ ⴽⵓ ⵢⴰⵏ, ⵉⵙⵏⵏⴷ ⵅⴼ ⵜⵣⵎⵎⴰⵔ.
26-01	ⴰⵙⴳⵎⵉ ⵉⵍⴰⵇ ⴰⵙ ⴰⴷ ⵉⵏⵏⴰⵍ ⴰⴱⵓⵖⵍⵓ ⵏ ⵡⵓⴷⵎⴰ ⴰⵏⴰⴼⴳⴰⵏ ⴷ ⵜⴷⵓⵙⵉ ⵏ ⵓⵡⵇⵇⵔ ⵏ ⵉⵣⵔⴼⴰⵏⵏⵏ ⵏ ⵓⴼⴳⴰⵏ ⴷ ⵜⴷⵔⴼⵉⵢⵉⵏ ⵜⵉⴼⴳⴳⴰⴳⵉⵏ. ⵉⵍⴰⵇ ⴰⴷ ⵉⴼⴳ ⵜⴰⵖⴹⴼⵜ ⵉ ⵜⵉⴷⴷⵓⴽⵍⴰ ⴷ ⵓⵎⵙⵃⵎⴰⵍ ⵏⴳⵔ ⵏ ⵜⵎⵜⵜⴰ ⴷ ⵉⴳⵔⴰⵡⵏ ⵏ ⵜⵥⵓⵕⵉ ⴷ ⵓⵙⴳⴷ ⴷ ⵓⵙⴳⵎ ⵏ ⵉⵎⵓⵙⵙⵓⵜⵏ ⵏ ⵜⵎⵜⵜⴰ ⵉⵎⵓⵏⵏ ⵃⵎⴰ ⴰⴷ ⵜⵉⵍⵉ ⵜⵏⴰⴳⵔⵉⵜ.
26-02	ⵉⵍⵍⴰ ⵓⵣⵔⴼ ⴰⵎⵣⵡⴰⵔⵓ ⴷⴰⵔ ⵉⵎⴰⵡⵍⴰⵏ ⴰⴷ ⵙⵜⵉⵏ ⴰⵏⴰⵡ ⵏ ⵜⵖⵔⵉ ⵉ ⵜⴰⵔⵡⴰ ⵏⵏⵙⵏ.
27-00	ⴰⵎⴰⴳⵔⴰⴷ 27
27-00	ⴽⵓ ⵢⴰⵏ ⵉⵍⵍⴰ ⴷⴰⵔⵙ ⵓⵣⵔⴼⴰⴷ ⵢⴰⵡⵙ ⵖ ⵜⵓⴷⵔⵜ ⵏ ⵡⴰⵎⵓⵏ ⵏⵏⵙ ⵜⴰⴷⵍⵙⴰⵏⵜ ⴷ ⵜⵥⵓⵕⵉ, ⵢⴰⵡⵙ ⴰⵡⴷ ⴳ ⵓⵙⵎⵓⵜⵜⴳ ⵏ ⵜⵎⴰⵙⵙⴰⵏⵉⵏ ⵉⵙⴼⴰⵢⴷ ⴳⵉⵜⵙⵏⵜ.
27-01	ⴽⵓ ⵢⴰⵏ ⵉⵍⵍⴰ ⴷⴰⵔⵙ ⵓⵣⵔⴼ ⵜⴳⴰ ⵜⴷⵔⴼⵉⵜ ⵏ ⵓⵙⵏⵓⵍⴼⵓ ⴷ ⵜⵉⵏ ⵜⵥⵕⵉⴳⵜ ⴷ ⵜⵉⵏ ⵓⵙⴼⵙⵔ ⵜⴰⵏⴼⵔⵓⵜ ⴳ ⵉⴳⵔⴰⵏ ⵏ ⵜⵙⴽⵍⴰ ⴷ ⵡⵉⵏ ⵜⵥⵓⵕⵉ ⴷ ⵡⵉⵏ ⵓⵔⵣⵣⵓ ⴰⵎⴰⵙⵙⴰⵏ.
28-00	ⴰⵎⴰⴳⵔⴰⴷ 28
28-01	ⴽⵓ ⵢⴰⵏ ⵉⵍⵍⴰ ⴷⴰⵔⵙ ⵓⵣⵔⴼ ⴰⴷ ⵉⵙⴼⴰⵢⴷ ⵖ ⵓⵖⴰⵡⴰⵙ ⴰⵏⴰⵎⵓⵏ ⴰⴳⵔⴰⵖⵍⴰⵏ ⵍⵍⵉⵖ ⵍⵍⴰⵏ ⵉⵣⵔⴼⴰⵏ ⴷ ⵜⴷⵔⴼⵉⵢⵉⵏ ⵍⵍⵉ ⴷ ⵢⵓⵛⴽⴰⵏ ⵖ ⴰⵍⵖⵓ ⴰⴷ.
29-00	ⴰⵎⴰⴳⵔⴰⴷ 29
29-00	ⴽⵓ ⵢⴰⵏ ⴰⵔ ⵉⵜⵜⴰⵡⵙ ⵖ ⵜⵡⵉⵣⵉ ⵏ ⵡⴰⵎⵓⵏ ⵙ ⵓⵢⵏⵏⴰ ⵎⵓ ⵉⵥⴹⴰⵕ ⵙ ⵜⴳⵎⵉ ⵏ ⵜⵓⴷⵔⵜ ⵏⵏⵙ.
29-01	ⴰⵔ ⵏⵏ ⵉⵜⵜⴷⵓⵍ ⵓⴼⴳⴰⵏ ⵙ ⵉⵙⴽⵔⴰⴼ ⵍⵍⵉ ⵉⵍⵍⴰⵏ ⴳ ⵓⵙⵍⴳⵏ ⵖ ⵜⵉⵣⵉ ⵍⵍⵉⵖ ⴰⵢ ⵉⵙⵙⵏⴼⴰⵍ ⵉⵣⵔⴼⴰⵏ ⴷ ⵜⴷⵔⴼⵉⵢⵉⵏ ⴰⴼⴰⴷ ⴰⴷ ⴳⵉⴷⴷⵏⵜ ⵜⵎⴰⵙⵙⴰⵢⵉⵏ ⵜⵉⴳⴷⵓⴷⴰⵏⵉⵏ ⴷ ⵜⵎⵙⴽⵔⵜ ⴳ ⵡⴰⵎⵓⵏ ⴰⴷⵉⵎⵓⵇⵕⴰⵟⵉ.
29-02	ⵖⵉⴽⵏⵏⴰ ⴽⴰ ⴳⴰⵏⵜ ⵜⵖⴰⵡⵙⵉⵡⵉⵏ ⵓⵔ ⴷ ⵉⵇⵇⴰⵏ ⴰⴷ ⵎⵎⵙⴽⴰⵔⵏ ⵉⵣⵔⴼⴰⵏ ⴰⴷ ⵎⵏⵉⴷ ⵏ ⵉⵡⵜⵜⴰⵙⵏ ⴷ ⵉⵎⵏⵣⴰⵢⵏ ⵏ ⵜⵎⵜⵜⴰ ⵉⵎⵓⵏⵏ.
30-00	ⴰⵎⴰⴳⵔⴰⴷ 30
30-01	ⵓⵔ ⵉⵍⵍⵉ ⵖ ⵓⵍⵖⵓ ⴰⴷ ⴽⵔⴰ ⵏ ⵓⴹⵕⵉⵚ ⴰⴼⴰⴷ ⴰⴷ ⵉⵙⵎⴷⵢⴰ ⴽⵔⴰ ⵏ ⵓⵡⴰⵏⴽ ⵏⵖⴷ ⴽⵔⴰ ⵏ ⵓⴳⴷⵓⴷ ⵏⵖⴷ ⵓⴼⴳⴰⵏ ⵙ ⵖⵉⴽⵍⵍⵉ ⵉⵔⴰ ⴷ ⵓⵔ ⴷⴰⵔⵙ ⴽⵔⴰ ⵏ ⵓⵣⵔⴼ ⴰⴼⴰⴷ ⵉⵙⴽⵔ ⵜⴰⵡⵔⵉ ⵏⵏⴰ ⵉⵔⴰ ⵍⵍⵉ ⵉⵜⵜⵔⵥⵥⴰⵏ ⵉⵣⵔⴼⴰⵏ ⴷ ⵜⴷⵔⴼⵢⵉⵏ ⵍⵍⵉ ⴷ ⵢⵉⵡⵉ ⵖ ⵓⵍⵖⵓ ⴰⴷ.
