00-00	ᐁᐢᐱᑕᐢᑲᒥᑲᐠ ᐊᐢᑭᐠ ᑭᒋ ᐃᑗᐎᐣ ᐃᓂᓂᐎ ᒥᓂᑯᐎᓯᐎᓇ ᐅᒋ
18-01	ᒥᓯᐌ ᐊᐌᓇ ᐁ ᒥᓂᑯᐎᓯᐟ ᑭᒋ ᑎᐁᐢᑕᐠ ᐅᐟ ᐃᑌᓂᑕᒧᐎᐣ ᐅᒪᒥᑐᓀᓂᑕᒧᐎᐣ ᓀᐢᑕ ᐅᐟ ᐊᔭᒥᐃᐎᐣ᙮ ᐅᒪ ᒥᓂᑯᐎᓯᐎᐣ ᐊᔑᐨ ᐅᑎᐯᓂᒥᑎᓱᐎᐣ ᑭᒋ ᐊᐸᒋᑕᐟ ᐃᐢᐱ ᐗ ᐊᒋᑕᐟ ᐅᐟ ᐊᔭᒥᐊᐎᐣ ᓀᐢᑕ ᐅᐟ ᑕᐺᔦᓂᑕᒧᐎᐣ ᐁ ᐯᔭᑯᐟ ᓀᐢᑕ ᐱᑯ ᑯᑕᑭᔭ ᐃᓂᓂᐗ  ᐅᑎᐢᑲᐤ ᐃᓂᓂᐠ ᓀᐢᑕ ᐱᑯ ᐎᓇ ᑎᐯᓇᐌ᙮ ᑭᒋ ᐗᐸᑎᓂᐌᐟ ᐅᐟ ᐊᔭᒥᐊᐎᐣ ᓀᐢᑕ ᐱᑯ ᑭᒋ ᑭᐢᑭᓄᐊᒪᑭᐟ ᐁᔑ ᑕᐺᔦᓂᑕᐠ ᓀᐢᑕ ᑭᒋ ᐱᒧᑕᑐᑕᐠ ᐅᐟ ᑕᐺᔦᓂᑕᒧᐎᐣ ᓀᐢᑕ ᒪᑲ ᐁᔑ ᒪᒥᒋᒥᐌᐟ ᓀᐢᑕ ᓄᓱᓀᐊᐠ ᐅᐟ ᑕᐺᔦᓂᑕᒧᐎᐣ᙮
19-00	ᔕᐣᑯᔕᑊ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
19-01	ᒥᓯᐌ ᐊᐌᓇ ᒥᓂᑯᐎᓯᐤ ᑎᐯᓇᐌ ᐅᐟ ᐃᑌᓂᑕᒧᐎᐣ ᑭᒋ ᐊᐸᒋᑕᐟ ᓀᐢᑕ ᑎᐯᓇᐌ ᐅᐟ ᐊᔭᒥᐅᐣ ᑭᒋ ᐊᐸᒋᑕᐟ᙮ ᐁ ᐊᑯᒪ ᒥᓂᑯᐎᓯᐎᐣ ᐁ ᑎᐯᓂᒥᑎᓯᐟ ᐅᐟ ᐃᑌᓂᑕᒧᐎᐣ ᑭᒋ ᐊᐸᒋᑕᐟ ᓀᐢᑕ ᐁᑲ ᑭᒋ ᒥᑯᐡᑲᒋᐃᐟ ᓀᐢᑕ ᑭᒋ ᓇᑕᐌᓂᑕᐠ ᓀᐢᑕ ᐅᑎᑎᑯᐟ ᓀᐢᑕ ᑭᒋ ᐊᐸᒋᑕᐟ ᐊᓂᐃ ᐎᑕᒪᑯᐎᓇ ᓀᐢᑕ ᐃᑌᓂᑕᒧᐎᓇ ᐱᑯ ᑲ ᐅᒋᐸᓂᑭ ᑎᐸᒋᒧᐎᓇ ᓀᐢᑕ ᐯᑕᑯᓯᐎᓇ ᓀᐢᑕ ᐁᑲ ᑭᒋ ᑭᐱᐡᑲᑯᓇᓂᐗᐠ ᐁᔑ ᑭᔑᐸᐠ ᐊᐢᑭᔾ᙮
20-00	ᓂᔑᑕᓇ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
20-01	ᒥᓯᐌ ᐊᐌᓇ ᐁ ᑎᐯᓂᒥᑎᓯᐟ ᑭᒋ ᐃᑕᐟ ᓇᑭᐡᑲᑐᐎᓂᐠ ᑲᔭᒣᓂᑕᒧᐎᐣ ᐁ ᐊᐸᑕᐠ ᓀᐢᑕ ᐱᑯ ᒪᒪᐎ ᐎᒋᐃᑐᐎᓂᐠ᙮
20-02	ᐁᑲ ᐊᐎᓇ ᐊᑐᐢᑲᒼ ᑭᒋ ᔑᑭᐃᐟ ᑭᒋ ᑎᐯᐣᑕᑯᓯᐟ ᒪᒪᐎ ᐎᒋᐃᑐᐎᓂᐠ᙮
21-00	ᓂᔑᑕᓇ ᐯᔭᐠ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
21-01	ᒥᓯᐌ ᐊᐌᓇ ᐁ ᒥᓂᑯᐎᓯᐟ ᑭᒋ ᐊᔑᒋᐟ ᐅᑭᒪᐎᐎᓂᐠ ᐅᐟ ᐊᐢᑭᐠ ᐅᑕᐡᑲᐤ ᓀᐢᑕ ᐱᑯ ᐊᓂᐃ ᑎᐯᓇᐌ ᑲ ᐗᐌᓇᐸᒪᐟ ᑭᒋ ᐊᔭᒥᐡᑕᒪᑯᐟ᙮
21-02	ᒥᓯᐌ ᐊᐌᓇ ᐁ ᒥᓂᑯᐃᓯᐟ ᐯᔭᑾᓄᐠ ᑭᒋ ᐃᔑ ᑲᓇᐗᐸᒥᐟ ᐃᐢᐱ ᑲ ᐎ ᐊᐸᒋᑕᑴ ᐃᓂᓂᐎ ᐊᑐᐢᑫᐎᓇ ᐅᑕ ᐊᐢᑭᐠ᙮
21-03	ᐅᐟ ᐃᑌᓂᑕᒧᐎᓂᐗᐤ ᐃᓂᓂᐗᐠ ᑲᑕ ᐅᒋ ᓂᐸᐎᒪᑲᐣ ᑲᐡᑭᐅᐎᐣ ᐱᒋ ᐅᑭᒪᐎᐎᓂᐠ ᓀᐢᑕ ᑲᑕ ᓄᑭᑕᓂᐗᐣ ᐊᐢᑭ ᐊᐢᑲᐤ ᑲ ᑕᐺᒪᑲᐠ ᐗᐌᓇᐸᒋᑫᐎᐣ ᒥᓯᐌᐣᑲᒥᐠ ᑲ ᐱᒧᑌᒪᑲᐠ ᐯᔭᑾᓄᐠ ᑲ ᐱᒧᑕᑐᒋᑲᑌᐠ ᐯᒪᐗᓯᓇᐃᑫᐎᐣ ᓀᐢᑕ ᑲᑕᓄᐠ ᑲ ᐱᒋᐌᐱᓂᑲᓂᐗᐠ ᓀᐢᑕ ᐱᑯ ᑲ ᓄᓱᓀᐃᑲᑌᑭ ᐗᐌᓇᐸᒋᑫᐎᓇ᙮
22-00	ᓂᔑᑕᓇ ᓂᔓ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
22-01	ᒥᓯᐌ ᐊᐌᓇ ᑲ ᐊᔑᑕᑭᒥᑯᓯᐟ ᐱᒪᑎᓯᐎᓂᐠ ᐁ ᒥᓂᑯᐎᓯᐠ ᑭᒋ ᑲᓇᐎᓂᒥᑯᐎᓯᐠ ᓀᐢᑕ ᑭᒋ ᐱᓯᐢᑭᓂᑕᑯᓯᐟ ᒥᓯᐌᐢᑲᒥᐠ ᐁᔑ ᑯᒋᑕᓂᐗᐠ ᓀᐢᑕ ᑲᑕᑾᑭ ᐎᒋᐃᐌᐎᓇ ᐯᔭᑾᔦᐠ ᐊᐢᑭᐠ ᑲ ᐅᒋ ᐱᒪᒋᐅᓇᓂᐗᐠ ᐃᓂᓂᐠ ᓀᐢᑕ ᐃᑕᐢᑲᓀᓯᐎ ᒥᓂᑯᐎᓯᓇ ᑲ ᑭᐢᑌᓂᑕᑾᑭ ᐎᓇ ᑎᐱᓇᐌ ᐅᑭᐢᑌᓂᑕᑯᓯᐎᐣ ᐅᒋ ᓀᐢᑕ ᑎᐱᓇᐌ ᑫ ᐅᒋ ᓂᑕᐎᑭᐟ ᐅᐟ ᐃᔑᓇᑯᓯᐎᓂᐠ᙮
23-00	ᓂᔑᑕᓇ ᓂᐢᑐ ᐱᐢᑭᑕᓯᓇᐃᑲᐣ
23-01	ᒥᓯᐌ ᐊᐌᓇ ᐁ ᒥᓂᑯᐎᓯᐟ ᑭᒋ ᐊᐸᑎᓯᐟ ᑫᑯ ᐱᑯ ᐊᐸᑎᓯᐎᓂᓂᐤ ᐗᐅᑎᓇᒪᓱᐟ ᑾᔭᐢ ᑭᒋ ᑐᑕᐟ ᐁᔑ ᐊᐸᑎᓯᐟ ᓀᐢᑕ ᑭᒋ ᑲᓇᐌᓂᒥᑯᐎᓯᐟ ᐁᑲ ᐁᑕᑾᓂᓂᐠ ᐊᐸᑎᓯᐎᓂᓂᐤ᙮
23-02	ᒥᓯᐌ ᐊᐌᓇ ᐁᑲ ᐱᑐᐡ ᑭᒋ ᐃᔑ ᑲᓇᐗᐸᒥᐟ ᐯᔭᑾᓄᐠ ᑭᒋ ᐃᔑ ᑎᐸᐊᒪᑯᓯᐟ ᓀᐢᑕ ᐯᔭᑾᐣ ᑭᒋ ᐃᔑᓇᑾᓂᓂᐠ ᐅᐟ ᐊᐸᑎᓯᐎᐣ᙮
23-03	ᒥᓯᐌ ᐊᐌᓇ ᑲ ᐊᐸᑎᓯᐟ ᑾᔭᐢᐠ ᓀᐢᑕ ᑭᒋ ᒥᓋᔑᓂᓂᐠ ᐅᑐᑎᓯᐎᐣ ᐎᓇ ᐅᒋ ᓀᐢᑕ ᐎᒋᔕᓇ ᑭᒋ ᐅᒋ ᐅᒋ ᒥᓋᐊᔑᓂᓂᐠ ᐅᐱᒪᑎᓯᐎᓂᐗᐤ ᑭᐢᑌᓂᑕᑯᓯᐎᓂᐠ ᓀᐢᑕ ᑭᒋ ᐊᓂᐡᑫ ᐎᒋᐃᑯᓯᐟ ᑭᔕᐢᐱᐣ ᐢᑕᐌᓂᑕᑯᓯᑴ ᑲ ᐅᒋᐸᓂᐠ ᐃᓂᓂᐎ ᓇᑕᒪᑫᐎᐣ᙮
23-04	ᒥᓯᐌ ᐊᐌᓇ ᐁ ᒥᓂᑯᐎᓯᐟ ᑭᒋ ᐅᔑᑕᐟ ᓀᐢᑕ ᐱᑯ ᑭᒋ ᐎᒋᑡᐟ ᐊᐸᑎᓯᐎ ᒪᒪᐎ ᓇᑕᒪᑫᐎᓂᐠ ᐊᐸᑎᓯᐎᐣ ᐅᒋ ᑫ ᐅᒋ ᓇᑕᒪᑯᓯᐟ ᒣᑾᐨ ᐁ ᐊᐸᑎᓯᐟ᙮
