00-00	ᨠᨲᩥᨠᩣᩅᩤ᩵ᨯ᩠ᩅ᩠ᨿᩢᨾᨶᩩᩔᨩᩣ᩠ᨲ
12-01	ᨹᩪᩢᩱᨯᨧᩢᩃ᩠ᩅ᩵ᨦᩃᩢᩴᩣᨡᩮᩢᩢᩣᨻᩱᨯᩰ᩠ᨿᨷᩢᨾᩦᩉᩮ᩠ᨲᩩᨷᩢᨯᩱᩢ ᨴ᩠ᨦᩨᨶᩱᩉᩳᩁᩮ᩠ᨶᩨ ᩈᨳᩣ᩠ᨶᨴᩦ᩵ᩀᩪ᩵ ᩉᩕᩨᨶᩱᨠᩣ᩠ᩁᩈᩨ᩵ᩈᩣ᩠ᩁ ᨷᩢᨣᩢᨧᩢᨳᩪᨠᨯᩪᨣᩯ᩠ᩅᩁᨶᩱᨶᩣᨾᨩᩨ᩵ᩈ᩠ᨿᨦ ᨿᩫ᩠ᩈᩈ᩠ᨠᩢᨷᩢᨯᩱᩢ ᨴᩩᨠᨹᩪᩢᨾᩦᨴ᩠ᨵᩥ ᨶᩱᨠᩣ᩠ᩁᨯᩱᩢᩁᩢ᩠ᨷᨠᩣ᩠ᩁᨣᩩᩢᨾᨡ᩠ᩅᩣ᩠ᨦᨧᩣ᩠ᨠᨠ᩠ᨭᩫᩉ᩠ᨾᩣ᩠ᨿᩃ᩠ᩅ᩵ᨦᩃᩢᩴᩣ ᨯᩪᩯᨣ᩠ᩅᩁ ᨯ᩠ᨦᩢ᩵ᨠ᩵ᩣ᩠ᩅᩅᩱᩢᨶ᩠ᨶᩢᩢ
13-00	ᨡᩳ᩶ 13
13-01	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᩈᩮᩁᩦ ᩉᩯ᩠ᨦ᩵ᨠᩣ᩠ᩁᨴ᩠ᩅᩢᨦᩉ᩠ᨶᩧᨦᨶᩱᨳᩈᩣ᩠ᨶᨴᩦ᩵ᩀᩪ᩵ ᨻᩣ᩠ᨿᨶᩱᨡᩮ᩠ᨲᨡ᩠ᩋᨦᨾᩮ᩠ᨦᩨᨶ᩠ᨶᩢᩢᪧ
13-02	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨴᩦ᩵ᨧᩢᩋ᩠ᩋᨠᨶ᩠ᩋᨠᨷᩕᨴᩮ᩠ᩈᩱᨯᩢ ᩁ᩠ᩅᨾᨻᩱᨳ᩠ᨦᩨᨷᩕᨴᩮ᩠ᩈᨡ᩠ᩋᨦᨲ᩠ᩅᩫᨠᩮᩢ᩵ᩣ ᩓᩢᨠᩣ᩠ᩁᨻ᩠ᩋᨠᨤ᩠ᨶᩨᨾᩣᨿ᩠ᨦᩢᨷᩕᨴᩮ᩠ᩈᨡ᩠ᩋᨦᨲ᩠ᨶᩫ
14-00	ᨡᩳ᩶ 14
14-01	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨴᩦ᩵ᨧᩢᩈᩯ᩠ᩅᨦᩉᩣ ᩓᩢᨿ᩠ᨦᩢᩢᩋᩣᩈᩱ᩠ᨿᨶᩱᨷᩕᨴᩮ᩠ᩈᩋ᩠ᨶᩨ᩵ ᨻᩮ᩠ᩋᩨ᩵ᩉ᩠ᨶᩦᨽᩱ᩠ᨿᨧᩣ᩠ᨠᨠᩣ᩠ᩁᨲᩮ᩠ᨠᨲᩮ᩠ᨦ ᨠᩣ᩠ᩁᨥᩢᩣ ᨠᩣ᩠ᩁᩉᩯ᩠ᨾ
14-02	ᨧᩢᩋᩢᩣ᩠ᨦᩈᩥᨴ᩠ᨵᩥᨷᩢᨯᩱᩢ ᨶᩱᩁᩮ᩠ᨦᩨ᩵ᨴᩦ᩵ᨠᩮ᩠ᨯᩨᨸᩮ᩠ᨶᩋᨾᩩ ᩋ᩠ᨶᩢᨷᩢᨣ᩠ᩋᩢᨦᨠ᩵ᩣ᩠ᨿᨠᩢ᩠ᨷᨯᩢ᩠ᩅ᩠ᨿᨠᩣ᩠ᩁᨾᩮ᩠ᨦᩨ ᨷᩢᨣᩢ ᩋ᩠ᨶᩢᨡ᩠ᨯᩢᨠᩢ᩠ᨷᨡᩳ᩶ᩋᩢᩣ᩠ᨦᩉ᩠ᨾᩣ᩠ᨿ ᩓᩢ ᩉᩖᩢᨠᨠᩣ᩠ᩁᨡ᩠ᩋᨦᩈᩉᨷᨩᩣᨩᩣ᩠ᨲ
15-00	ᨡᩳ᩶ 15
15-01	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨶᩱᨠᩣ᩠ᩁᨳᩨᨠᩣ᩠ᩁᩁ᩠ᩅ᩵ᨾᨩᩣ᩠ᨲ
15-02	ᨤ᩠ᨶᩫᨯᩱᨧᩢᨳᩪᨠᨲ᩠ᨯᩢᩈᩮᨧᩣ᩠ᨠᨠᩣ᩠ᩁᩁ᩠ᩅ᩵ᨾᨩᩣ᩠ᨲ ᨯᩰ᩠ᨿᨷᩢᨾᩦᩉᩮ᩠ᨲᩩᨷᩢᨯᩱᩢ ᨷᩢᨣᩢᨳᩪᨠᨡ᩠ᨯᩢᩉᩢᩣ᩠ᨾᩈᩥᨴ᩠ᨵᩥ ᨧᩣ᩠ᨠᨠᩣ᩠ᩁᨸ᩠᩵ᨿᩁᨠᩣ᩠ᩁᩁ᩠ᩅ᩵ᨾᨩᩣ᩠ᨲᨷᩢᨯᩱᩢ
16-00	ᨡᩳ᩶ 16
16-01	ᨩᩣ᩠ᨿᩓᩢᨿ᩠ᨦᩥ ᨴᩦ᩵ᨾᩦᩋᩣᨿᩩᨲᩮ᩠ᨾᨳ᩠ᩅᩢᩁᨷᩁᩥᨷᩩᨱ᩠ᨱᩣᩓ᩠ᩅᩢ ᨾᩦᩈᩥᨴ᩠ᨵᩥᨴᩦ᩵ᨧᩢᩅᩥᩅᩤᩉᨠ᩠ᨶᩥᨡᩯ᩠ᨠ ᩓᩢᨲᩯ᩵ᨲ᩠ᨦᩢᩢᩉ᩠ᨶᩢᩣᩁᩮ᩠ᨶᩨ ᨯᩰ᩠ᨿᨷᩕᩣᩈᨧᩣ᩠ᨠᩈᩮᨿ᩠ᨦᩢᨡᩳ᩶ᩉᩢᩣ᩠ᨾᨯᩱᪧ ᩋ᩠ᨶᩢᨣ᩠ᩋᩢᨦᨠ᩵ᩣ᩠ᨿᨠᩢ᩠ᨷᨯᩢ᩠ᩅ᩠ᨿ ᨩᩮ᩠ᩋᩨ᩶ᨩᩣ᩠ᨲ ᩁ᩠ᩅ᩵ᨾᨩᩣ᩠ᨲ ᩈᩣᩈᨶᩣ ᨲ᩵ᩣ᩠ᨦᨣᩢᨾᩦᩈᩥᨴ᩠ᨵᩥᨹ᩠ᨿ᩵ᨦᨻ᩠ᨿᨦᨠ᩠ᨶᩢᨶᩱᨠᩣ᩠ᩁᩅᩥᩅᩤᩉ ᩁᩉ᩠ᩅ᩵ᩣ᩠ᨦᨠᩣ᩠ᩁᩅᩥᩅᩤᩉ ᩓᩢᨠᩣ᩠ᩁᨡᩣ᩠ᨯᨧᩣ᩠ᨠᨠᩣ᩠ᩁᩅᩥᩅᩤᩉ
16-02	ᨠᩣ᩠ᩁᩅᩥᩅᩤᩉ ᨧᩢᩉᩮ᩠ᨯᨯᩱᩢᨣᩢᨾᩮ᩠ᩋᩨ᩵ᨾᩦᨣ᩠ᩅᩣ᩠ᨾᨻᩕ᩠ᩋᩢᨾᨿ᩠ᩋᨾ  ᨯᩰ᩠ᨿᨻ᩠ᨦᩈᩁᨲᩮ᩠ᨾᨴᩦ᩵ ᨡ᩠ᩋᨦᨹᩪᩢᨴᩦ᩵ᨾᩦᨧᩮᨲᨶᩣᨤᩱ᩵ᩅᩥᩅᩤᩉ
16-03	ᨠᩣ᩠ᩁᩁᩮ᩠ᨶᩨᨸᩮ᩠ᨶᩉᩖᩢᨠᨵᨾ᩠ᨾᨩᩣ᩠ᨲ ᩓᩢᩉᩖᩢᨠᨣᩮᩢᩢᩣᨡ᩠ᩋᨦᨡ᩠ᩋᨦᩈ᩠ᨦᩫᨣ᩠ᨾᩫ ᩓᩢᨾᩦᩈᩥᨴ᩠ᨵᩥᨴᩦ᩵ᨧᩢᨯᩱᩢᩁᩢ᩠ᨷ ᨠᩣ᩠ᩁᨣᩩᩢᨾᨡ᩠ᩅᩣ᩠ᨦᨧᩣ᩠ᨠᩈ᩠ᨦᩢᨣ᩠ᨾᩫᩓᩢᨷᩤ᩠ᨶᩢᨾᩮ᩠ᨦᩨ
17-00	ᨡᩳ᩶ 17
17-01	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨸᩮ᩠ᨶᨧᩮᩢᩢᩣᨡ᩠ᩋᨦᩈ᩠ᨾᩫᨷ᩠ᨲᩢ ᨯᩢ᩠ᩅ᩠ᨿᨲ᩠ᨶᩫᨣᩭᨯᩴ᩠ᨿ ᩓᩢᩀ᩵ᩣ᩠ᨦᨯᩴ᩠ᨿᨠ᩠ᨶᩢᨠᩢ᩠ᨷᨯᩢ᩠ᩅ᩠ᨿᨹᩪᩢᩋ᩠ᨶᩨ᩵
17-02	ᨹᩪᩢᨧᩢᨳᩪᨠᨴ᩠ᨿᨦᩈ᩠ᨾᩫᨷ᩠ᨲᩢᨯᩰ᩠ᨿᨷᩢᨾᩦᩉᩮ᩠ᨲᩩᨧᩴᩣᨸᩮ᩠ᨶᨷᩢᨯᩱᩢ
18-00	ᨡᩳ᩶ 18
18-01	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥ ᨶᩱᨻ᩠ᨦᩈᩁᨡ᩠ᩋᨦᨣ᩠ᩅᩣ᩠ᨾᨤ᩠ᨯᩥᨲᩣ᩠ᨾᨾᨶᩮᩣᩉ᩠ᩅᩫᨧᩱ ᩓᩢ ᩈᩣᩈᨶᩣ ᩈᩥᨴ᩠ᨵᩥᨶᩦ᩶ᩁ᩠ᩅᨾᨻᩱᨳ᩠ᨦᩨ ᨠᩣ᩠ᩁᨸ᩠᩵ᨿᩁᩈᩣᩈᨶᩣ ᨷᩢᨣᩢᨣ᩠ᩅᩣ᩠ᨾᨩᩮ᩠ᩋᩨ᩵ᨳᩨᨡ᩠ᩋᨦᨲ᩠ᨶᩫ ᨯᩰ᩠ᨿᨠᩣ᩠ᩁᩈ᩠ᩋᩁ ᨠᩣ᩠ᩁᨷᨭᩥᨷ᩠ᨲᩢ ᩈᨠ᩠ᨠᩁᨷᩪᨩᩣ ᩓᩢᨠᩣ᩠ᩁᩉᩮ᩠ᨯᨻᩥᨵᩦᨠᨾ᩠ᨾ᩼ ᨷᩢᩅᩤ᩵ᨣᩭᨯᩴ᩠ᨿᩉᩕᩨᨶᩱᨠᩣ᩠ᩁᩉᩮ᩠ᨯᩁ᩠ᩅ᩵ᨾᨠᩢ᩠ᨷᨹᩪᩢᩋ᩠ᨶᩨ᩵ ᩈᩣᨵᩤᩁᨱᨴ᩠ᩅᩫ᩵ᨻᩱ ᨷᩢᨣᩢᩈ᩠ᩅ᩵ᩁᨲ᩠ᩅᩫᨣᩭᨯᩴ᩠ᨿ
19-00	ᨡᩳ᩶ 19
19-01	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨶᩱᨻ᩠ᨦᩈᩁ ᩉᩯ᩠ᨦ᩵ᨣ᩠ᩅᩣ᩠ᨾᨣ᩠ᨯᩧᩉ᩠ᨶᩢᩓᩢᨠᩣ᩠ᩁᩈ᩵ᩴᩣᨯᩯ᩠ᨦᩋ᩠ᩋᨠ ᩈᩥᨴ᩠ᨵᩥᨶᩦ᩶ᩁ᩠ᩅᨾᨻᩱᨳ᩠ᨦᩨ ᨠᩣ᩠ᩁᨴᩦ᩵ᨧᩢᨿ᩠ᩋᨾᩁᩢ᩠ᨷᨳᩨᩐᩢᩣᨣ᩠ᩅᩣ᩠ᨾᩉ᩠ᨶᩢ ᨯᩰ᩠ᨿᨷᩕᩣᩈᨧᩣ᩠ᨠᩈᩮᨿ᩠ᨦᩢ ᨠᩣ᩠ᩁᨠᩯ᩠ᨯᨠ᩠ᨦᩢᩢᨴᩦ᩵ᨧᩢᩈᩯ᩠ᩅᨦᩉᩣ ᩓᩢᩁᩢ᩠ᨷᨡ᩵ᩣ᩠ᩅᩈᩣ᩠ᩁᩓᩢᨣ᩠ᩅᩣ᩠ᨾᨣ᩠ᨯᩧᩉ᩠ᨶᩢ ᨯᩰ᩠ᨿᩅᩥᨵᩦᨯᩱᪧ ᨯᩰ᩠ᨿᨷᩢᩅᩮ᩠ᨶᩈᩮᨿ᩠ᨦᩢᨡᩮ᩠ᨲᨯᩯ᩠ᨶ
20-00	ᨡᩳ᩶ 20
20-01	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨶᩱᨻ᩠ᨦᩈᩁ ᩉᩯ᩠ᨦ᩵ᨠᩣ᩠ᩁᨻᩕ᩠ᩋᩢᨾᨷᩕᨪᩩᨾᩓᩢᨲ᩠ᨦᩢᩢᨾᩩᨠᨩᩩᨾᨯᩰ᩠ᨿᩈᨶ᩠ᨲᩥ
20-02	ᨹᩪᩢᨯᩱᨧᩢᨳᩪᨠᨷ᩠ᨦᩢᨣᩢ᩠ᨷᩉᩨ᩶ᨡᩮᩢᩢᩣᨾᩩᨠᨩᩩᨾᨯᩱᨾᩩᨠᨩᩩᨾᩉ᩠ᨶᩧ᩵ᨦᨷᩢᨯᩱᩢ
21-00	ᨡᩳ᩶ 21
21-01	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨴᩦ᩵ᨧᩢᨯᩱᩢᨾᩦᩈ᩠ᩅ᩵ᩁᨯᩱᩢᩈ᩠ᩅ᩵ᩁᨸᩮ᩠ᨶ ᨶᩱᩁᨭᩛᨷᩣ᩠ᩃᨡ᩠ᩋᨦᨲ᩠ᨶᩫ ᨧᩢᨸᩮ᩠ᨶᨯᩰ᩠ᨿᨪᩨ᩵ ᨷᩢᨣᩢᨯᩰ᩠ᨿᨹ᩵ᩣ᩠ᨶᨠᩣ᩠ᩁᩃᩮ᩠ᨠᩨᨴᩯ᩠ᨶᨯᩱᩢ ᨯᩰ᩠ᨿᨻ᩠ᨦᩈᩁ
21-02	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨴᩦ᩵ᨧᩢᨡᩮᩢᩢᩣᨳ᩠ᨦᩨ ᨠᩣ᩠ᩁᨩ᩵ᩭᨳᩯ᩠ᨾᨴ᩠ᩅᩫ᩵ᨻᩱ ᨶᩱᨷᩤ᩠ᨶᩢᨾᩮ᩠ᨦᩨᨡ᩠ᩋᨦᨲ᩠ᨶᩫᨯᩱᩢ ᨯᩰ᩠ᨿᨹ᩠ᨿ᩵ᨦᨻ᩠ᨿᨦᨠ᩠ᨶᩢ
21-03	ᨡᩳ᩶ᨻᩕ᩠ᩋᩢᨾᨧᩱᨡ᩠ᩋᨦᨤ᩠ᨶᩫᨾᩮ᩠ᨦᩨ ᨲ᩠ᩋᩢᨦᩉᩨ᩶ᨸᩮ᩠ᨶᩁᩣ᩠ᨠᩉᩮ᩠ᨦᩢᩢᩣᨡ᩠ᩋᨦᨷᩤ᩠ᨶᩢᨾᩮ᩠ᨦᩨ ᨡᩳ᩶ᨻᩕ᩠ᩋᩢᨾᨧᩱᨠ᩠ᨶᩢᨶᩦ᩶ ᨧᩢᨯᩱᩢᩈ᩵ᩴᩣᨯᩯ᩠ᨦᩋ᩠ᩋᨠ ᨹ᩵ᩣ᩠ᨶᨠᩣ᩠ᩁᩃᩮ᩠ᨠᩨᨲ᩠ᨦᩢᩢᨲᩣ᩠ᨾᨴᩦ᩵ᨠ᩵ᩴᩣᩉ᩠ᨶᩫᨯᩅᩮᩃᩣᩅᩱᩢ ᨯᩰ᩠ᨿᨠᩣ᩠ᩁᩋᩣᩈᩱ᩠ᨿᨠᩣ᩠ᩁᩋ᩠ᩋᨠᩈ᩠ᨿᨦ ᨠᩣ᩠ᩁᩃ᩠ᨦᩫᨤᨶᩯ᩠ᨶ ᨯᩰ᩠ᨿᨹ᩠ᨿ᩵ᨦᨻ᩠ᨿᨦᨠ᩠ᨶᩢ
22-00	ᨡᩳ᩶ 22
22-01	ᨴᩩᨠᨤ᩠ᨶᩫ ᨶᩱᨮᩣᨶᨴᩦ᩵ᨸᩮ᩠ᨶᩈ᩠ᩅ᩵ᩁᩉ᩠ᨶᩧ᩵ᨦᨡ᩠ᩋᨦᩈ᩠ᨦᩢᨣ᩠ᨾᩫ ᨾᩦᩈᩥᨴ᩠ᨵᩥᨶᩱᨠᩣ᩠ᩁᩉ᩠ᨾᩢᩢᩁᨠᩯ᩠ᨶ᩵ᨴᩤ᩠ᨦᩈ᩠ᨦᩫᨣ᩠ᨾᩫ ᩓᩢᨾᩦᩈᩥᨴ᩠ᨵᩥᨶᩱᨠᩣ᩠ᩁᨡᩮᩢᩢᩣᨳ᩠ᨦᩨᨮᩣᨶᨴᩤ᩠ᨦᨠᩣ᩠ᩁᨣᩤᩢᨡᩣ᩠ᨿ ᩓᩢᨴᩤ᩠ᨦᩅᨯ᩠ᨰᨶᨵᨾ᩠ᨾ᩼ ᩋ᩠ᨶᩢᨧᩴᩣᨸᩮ᩠ᨶᩈ᩵ᩴᩣᩁᩢ᩠ᨷᨶᩣᨾᨩᩨ᩵ᩈ᩠ᨿᨦᨡ᩠ᩋᨦᨲ᩠ᨶᩫ ᩓᩢᨠᩣ᩠ᩁᨷᩩᨣ᩠ᨣᩃᩥᨠᨽᩣᩅᨡ᩠ᩋᨦᨲ᩠ᨶᩫ ᨯᩱᩢᨯᩰ᩠ᨿᨻ᩠ᨦᩈᩁ ᨻᩕ᩠ᩋᩢᨾᨠ᩠ᨶᩢᨶᩦ᩶ ᨯᩰ᩠ᨿᨣ᩠ᩅᩣ᩠ᨾᨡ᩠ᨯᩢᨧᩱᨡ᩠ᩋᨦᨩᩣ᩠ᨲ ᩓᩢ ᨠᩣ᩠ᩁᩁ᩠ᩅ᩵ᨾᨾᩨᨠ᩠ᨶᩢᩁᩉ᩠ᩅ᩵ᩣ᩠ᨦᨷᩕᨴᩮ᩠ᩈ ᩓᩢᨲᩣ᩠ᨾᨮᩣᨶᨡ᩠ᩋᨦᨤ᩠ᩅᩫᨡ᩠ᩋᨦᨶᩱᨲᩯ᩵ᩃᩡᨾᩮ᩠ᨦᩨ
23-00	ᨡᩳ᩶ 23
23-01	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨶᩱᩅ᩠ᨿᨠᨠᩣ᩠ᩁ ᨶᩱᨠᩣ᩠ᩁᩃᩮ᩠ᨠᩨᩉᩮ᩠ᨯᨠᩣ᩠ᩁᨯᩱᩢᨯᩰ᩠ᨿᨻ᩠ᨦᩈᩁ ᨲᩣ᩠ᨾᨡᩳ᩶ᨠᨲᩥᨠᩣᩋ᩠ᨶᩢᨿᩩᨲᩥᨵᨾ᩠ᨾ᩼ ᩋ᩠ᨶᩢᨸᩮ᩠ᨶᨷᩕᨿᩰᨩ᩠ᨶ᩼ᨲᩳ᩵ᩅ᩠ᨿᨠᨠᩣ᩠ᩁ ᩓᩢᨶᩱᨠᩣ᩠ᩁᨣᩩᩢᨾᨡ᩠ᩅᩣ᩠ᨦᨲᩳ᩵ᨠᩣ᩠ᩁᨴᩦ᩵ᨷᩢᨾᩦᩅ᩠ᨿᨠᨠᩣ᩠ᩁ
23-02	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨯᩱᩢᩁᩢ᩠ᨷᨣᩤ᩵ᨧᩢᩣ᩠ᨦᨹ᩠ᨿ᩵ᨦᨻ᩠ᨿᨦᨠ᩠ᨶᩢ ᨶᩱᨠᩣ᩠ᩁᩋ᩠ᨶᩢᩉᩮ᩠ᨾᩨᩨᩁᨠ᩠ᨶᩢ ᨯᩰ᩠ᨿᨷᩢᨾᩦᨠᩣ᩠ᩁᩃᩮ᩠ᨠᩨᨷᨭᩥᨷ᩠ᨲᩢᨲᩯ᩵ᨷᩕᨠᩣ᩠ᩁᨯᩱ
23-03	ᨴᩩᨠᨤ᩠ᨶᩫᨴᩦ᩵ᩉᩮ᩠ᨯᨠᩣ᩠ᩁ ᨾᩦᩈᩥᨴ᩠ᨵᩥᨴᩦ᩵ᨧᩢᨯᩱᩢᩁᩢ᩠ᨷᨣᩤ᩵ᨧᩢᩣ᩠ᨦᨯᩢ᩠ᩅ᩠ᨿᨿᩩᨲᩥᨵᨾ᩠ᨾ᩼ᩓᩢᨸᩮ᩠ᨶᨷᩕᨿᩰᨩ᩠ᨶ᩼ ᨴᩦ᩵ᨧᩢᨯᩱᩢᩁᩢ᩠ᨷᨡ᩵ᩣ᩠ᨾᨠᩯ᩵ᨲ᩠ᨶᩫᨲ᩠ᩅᩫᩓᩢᩉ᩠ᨶᩢᩣᩁᩮ᩠ᨶᩨ ᩋ᩠ᨶᩢᨸᩮ᩠ᨶᩈ᩠ᨦᩥ᩵ᨠ᩠ᨦᩨ᩵ᨣ᩠ᩅᩁᨠᩯ᩵ᨩᩨ᩵ᩈ᩠ᨿᨦᨡ᩠ᩋᨦᨾᨶᩩᩔ᩼ ᩓᩢᨣ᩠ᨶᩢᩉᩣ᩠ᨠᨧᩴᩣᨸᩮ᩠ᨶ ᨣᩢᨧᩢᨲ᩠ᩋᩢᨦᨯᩱᩢᩁᩢ᩠ᨷᨠᩣ᩠ᩁᨣᩩᩢᨾᨡ᩠ᩅᩣ᩠ᨦᩋ᩠ᨶᩨ᩵ᪧᨴᩤ᩠ᨦᩈ᩠ᨦᩫᨣ᩠ᨾᩫ ᨲᩮ᩠ᨾᩨ᩵ᨳᩯ᩠ᨾᨳᩯ᩠ᨦᩢ
23-04	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨴᩦ᩵ᨧᩢᨠᩳ᩵ᨲ᩠ᨦᩢᩢᩓᩢᨡᩮᩢᩢᩣᩁ᩠ᩅ᩵ᨾ ᨾᩩᨠᨩᩩᨾᨤ᩠ᨶᩫᩉᩮ᩠ᨯᨠᩣ᩠ᩁ   ᨻᩮ᩠ᩋᩨ᩵ᨧᩢᨯᩱᩢᨣᩩᩢᨾᨡ᩠ᩅᩣ᩠ᨦᩈ᩠ᩅ᩵ᩁᨯᩱᩢᩈ᩠ᩅ᩵ᩁᨸᩮ᩠ᨶᨡ᩠ᩋᨦᨲ᩠ᨶᩫ
24-00	ᨡᩳ᩶ 24
24-01	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨶᩱᨠᩣ᩠ᩁᨿ᩠ᨦᩢᩢᨪᩮᩢᩣ ᩅᩮᩃᩣᨸᩮᩢ᩵ᩣᨠᩣ᩠ᩁ ᩁ᩠ᩅᨾᨴ᩠ᨦᩨᨠᩣ᩠ᩁᨧ᩵ᩴᩣᨠ᩠ᨯᩢᩅᩮᩃᩣᨠᩣ᩠ᩁ ᨲᩣ᩠ᨾᩈ᩠ᨾᩫᨣ᩠ᩅᩁ ᩓᩢᩅ᩠ᨶᩢᩉ᩠ᨿᩩᨯᨠᩣ᩠ᩁᨸᩮ᩠ᨶᩅ᩠ᩅ᩵ᨦᨸᩮ᩠ᨶᨣᩕᩣ᩠ᩅ ᨯᩰ᩠ᨿᨿ᩠ᨦᩢᨯᩱᩢᩁᩢ᩠ᨷᨣᩤ᩵ᨧᩢᩣ᩠ᨦ
25-00	ᨡᩳ᩶ 25
25-01	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨶᩱᨾᩣᨲᩕᨮᩣ᩠ᨶᨠᩣ᩠ᩁᨸᩮ᩠ᨶᩀᩪ᩵ ᩋ᩠ᨶᩢᨠ᩠ᨦᩨ᩵ᨣ᩠ᩅᩁ ᩈ᩵ᩴᩣᩁᩢ᩠ᨷᨻᩣ᩠ᨿᩀᩪ᩵ᨯᩦ ᩓᩢ ᨣ᩠ᩅᩣ᩠ᨾᨸᩮ᩠ᨶᩀᩪ᩵ᨡ᩠ᩋᨦᨲ᩠ᨶᩫᩓᩢᩉ᩠ᨶᩢᩣᩁᩮ᩠ᨶᩨ ᩁ᩠ᩅᨾᨳ᩠ᨦᩨᩋᩣᩉᩣ᩠ᩁ ᨣᩕᩮ᩠ᨦᩨ᩵ᨶᩩ᩵ᨦᩉ᩠ᨿᩢ᩠ᩋᨦ ᨴᩦ᩵ᩀᩪ᩵ᩋᩣᩈᩱ᩠ᨿ ᩓᩢᨠᩣ᩠ᩁᩁ᩠ᨠᩢᩈᩣᨻᩣ᩠ᨿᩉ᩠ᨾᩳᨿᩣ ᩓᩢᨠᩣ᩠ᩁᨯᩱᩢᩁᩢ᩠ᨷᨣᩢᩴᩣᨳᩯ᩠ᨾᨴᩤ᩠ᨦᩈ᩠ᨦᩢᨣ᩠ᨾᩫᨴᩦ᩵ᨧᩴᩣᨸᩮ᩠ᨶ ᩓᩢᨾᩦᩈᩥᨴ᩠ᨵᩥᨣ᩠ᩅᩣ᩠ᨾᩉ᩠ᨾᩢᩢᩁᨠᩯ᩵ ᨿᩣ᩠ᨾᨸᩮᩢ᩵ᩣᨠᩣ᩠ᩁ ᨧᩮ᩠ᨷᨡᩱᩢ ᨸᩮ᩠ᨶᩉ᩠ᨾᩢᩣ᩠ᨿ ᨳᩮᩢᩢᩣᨠᩯ᩵ ᨷᩢᨾᩦᩉ᩠ᨶᩢᩣᨠᩣ᩠ᩁᩋ᩠ᨶᩨ᩵ ᩋ᩠ᨶᩢᩉᩮ᩠ᨶᩨᩋᩈᩮᩋᩴᩣᨶᩣ᩠ᨧᨡ᩠ᩋᨦᨲ᩠ᨶᩫ
25-02	ᨾᩯ᩵ᩓᩢᩃᩪᨠ ᨾᩦᩈᩥᨴ᩠ᨵᩥᨴᩦ᩵ᨧᩢᨯᩱᩢᩁᩢ᩠ᨷᨠᩣ᩠ᩁᨯᩪᩃᩯᩁ᩠ᨠᩢᩈᩣ ᩓᩢᨠᩣ᩠ᩁᨩ᩵ᩭᩉᩮᩖᩨᩋᨸᩮ᩠ᨶᨻᩥᩈᩮ᩠ᩈ ᩃᩪᨠᨴ᩠ᨦᩢᩉᩖᩣ᩠ᨿ ᨷᩢᩅᩤ᩵ᨧᩢᨠᩮ᩠ᨯᩨᩉᩱ᩠ᨾ᩵ ᨶᩱᨠᩣ᩠ᩁᨲᩯ᩠ᨦ᩵ᨦᩣ᩠ᨶᩉᩕᩨᨷᩢᨣᩢᨲᩣ᩠ᨾ ᨧᩢᨲ᩠ᩋᩢᨦᨯᩱᩢᩁᩢ᩠ᨷᨠᩣ᩠ᩁᨣᩩᩢᨾᨡ᩠ᩅᩣ᩠ᨦ ᨧᩣ᩠ᨠᩈ᩠ᨦᩢᨣ᩠ᨾᩫᩉᩮ᩠ᨾᩨᩁᨠ᩠ᨶᩢ
26-00	ᨡᩳ᩶ 26
