00-00	Ꮒꭼꮎꮫ Ꮧꭶꮓꮳꮃꮕꭲ Ꭰꮒᏼꮻ Ꭴꮒꮂ Ꭲᏻꮎꮫꮧꭲ
17-02	Ꮭꭹꮆꭲ ꮽꮣꭺꮎꮫꭿ ꭰꮞꮚꮚ ꭴꮎꮣᏹꮈꭹ ꮎꮝꭹ ꭴꮎꮴꮅ ᏻꮅꮝꮩꮧ ꮷꭼꮹꮆꮧ ꭴꮂꭲ.
18-00	Ꭰꮿꮩꮈ 18
18-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꮎꭲ ꮩꭿꮙ ꭴꮎꮥꮧꭲ, ꮷꮔꭺꮩꮧᏹ ꭰꮄ ꮷꮎꮑꮅꮧ; ꭿꭰ ꭴꮒꮂ ꮪᏻꭺꮫ ꭰꮰꮿꮝꮧ ꮩꭿ ꭰꮥꮧꭲ ꮎꮝꮙ ꭶꮑꮯᏼꮝꮧ ꭴꮂꭲ ꮷꮑꮅꮧ ꭸꮢ ꭰꮄ ꭴꮼꭿᏻꮢꭲ, ꭰꮄ ꮩꭿ ꭰꮥꮧꭲ, ꭲꮷꮃꮙ ꭴꮹꮢ ꭰꮄ ꮎꮏꭲ ꮪꮒꮪꮢꭹ ꭴꮰꮿꮝꮧ ꮠꭲ ꭰꮄ ꮎꮏꭲ ᏼꮻ ꭴꮎꮣꮝꮧꭲ ꭰꮄ ꭴꮥꮅꮣ, ꮪꮎꮃꮟꮫ ꭴꮒꮂ ꮷꮎꮑꮅꮧ ꭰꮄ ꭴꮓꭿᏻꮢꭹ ꮎꮏ ꮣꮎꮥᏺꮂꮝꭼ, ꭰꮎꮅꮟꮎꭿꮝꮧꮝꭼ, ꭰꮎꮣꮩꮅꮝꮧꮝꭼ ꭰꮄ ꭰꭶꮞꮝꮤꮕꭹ.
19-00	Ꭰꮿꮩꮈ 19
19-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꮩꭿꮙ ꭰꮥꮧꭲ ꮎꮝꭹ ꭺꮅꮸꭲ ꭰꮄ ꭴꮯꮑꮸꭲ; ꭿꭰ ꮪᏻꭺꮫ ꭴꮒꮂ ꮪᏻꭺꮫ ꭰꮰꮿꮝꮧ ꮩꭿ ꭰꮥꮧꭲ ꭴꮢꭶꮄꮝꮧ ꮔꮝꮫ ꭺꮅꭼꭲ ꮕꮰꮿꮝꮧꮝꭼꮎ ꮎꮣᏺꮝꮣꮑꮂꮎ ꭰꮄ ꭴꮒᏺꮂꭹ, ꭰꮒꭹꮝꮧ ꭰꮄ ꮹꮣꮑꮧᏹ ꭼꮒꭸꮢ ꭲꭼꮹꮑꮧ ꭰꮄ ꭰꮣꮕꮦꮝꭼ ꭰꭶꮫꮅꮝꮤꮕ ꮒꭶꭵ ꭷꮓꭾꮣ ꭴꮎꮧꭶꮄꮿꮝꮧ ꭰꮄ ᏹꮒꭶꮅꮝꮧꮙ ꭴꮎꭲ ꭰꮝꮣꮕꮕ ꮧꮯꮆꮫ.
20-00	Ꭰꮿꮩꮈ 20
20-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꮩꭿꮙ ꭰꮥꮧꭲ ꮩꭿ ꭰꮥꮧꭲ ꮎꮝꭹ ꮕꮹꮩꭿꮿꮫꮙ ꮣꮒꮃꮻꭼ ꭰꮄ ꭴꮎꮅꭺꮢꭲ.
20-02	Ꮭꭹꮆꭲ ᏸꮅꮙ ꭴꮪꮣꮈꮧ ꭴꮩꮳꮈꮧ ꮎꮝꭹ ꮷꮅꭺꮧᏹ.
21-00	Ꭰꮿꮩꮈ 21
21-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꭴꮎꮦꮃꮧꮝꮧ ꮎꮏ ꭰᏸꮅ ꭴꮩꮲꮢ ꮎꮝꭹ ꭰᏸꮅ ꮒꭼꮎꮫꭲ ꭾꮂꭲ, ꮵᏻꮧꮙ ꭰꮄ ꭰꭶꮫꮅꮝꮤꮕ ꮔꮪꮣꮈꮎꮙ ꭰꮎꮡᏸꮝꭼ ꮧꮒꮃꮻꭹ.
21-02	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꭲꮷꮃꭽꮙꮓ ꭰᏼꮝꮩꮧ ꭴꮎꭲ ꭰᏸꮅ ꭲᏻꮎꮣꮫꮑꮧ ꮎꮏꭲ ꭴꮴꮅ ꭰᏸꮅ ꮒꭼꮎꮫꭲ.
21-03	Ꮎꮝꭹꮓ ꭰꮫꮕꭲꮝꮫ ꮎꮝꭹ ꭰꮒᏼꮻ ꭴꮩꭿᏻꭿ ꮎꮝꭹ ꭰᏸꮅ ꭴꮩꮲꮢ ꭴꮢꭶꮄꮝꮧ ꭰᏸꮅ ꭴꮩꮲꮢ; ꭿꭰ ꭰꮫꮕꭲꮝꮫ ꭴꮩꭿᏻꮢ ꭴꮯꮑꮸ ꮎꮏ ꭲᏻꮣꮅꭽ ꭰꮄ ꮩᏻꮓ ꮷꮎꮣꮡᏸꮝꮧ ꮎꮝꭹꮓ ꭴꮩꭿᏻꭿ ꮎꮝꭹ ꮒꭼꮎꮫ ꭰꮄ ꭲꮷꮃꭽꮙꮓ ꭴꮕꮜ ꭲᏻꮎꮫꮑꮧ ꭴꮑꮂꭲ ꭰꮄ ꭴꮩꭿᏻꭿ ꭴꮎꮢꭶꮲ ꭴꮥꮅꮫ ꭴꮒꮑꭲꮝꮧ ꭸꮞꮝꮧ ꭰꮄ ꮎꮝꭹ ꭴꮰᏹꮙ ꮔꮪꮣꮈꮎ ꭷꮑꭲꮝꮧ ꭰꭿꮈꮝꮧᏹ.
22-00	Ꭰꮿꮩꮈ 22
22-01	Ꮒꭶꮫ ꭰꮒᏼꮻ, ꮎꮝꭹ ꭰꮑꮃ ꭸꮢ ᏼꮻ, ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꮎꮝꭹ ꮹꮵꮒ ꭰꮪꮣꮈꮧ ꭰꮄ ꭴꮎꮣꮒꮬꮕꭲ ꮎꮝꭹ ꭰꮣꮩꮯꮝꮧ, ꭰꭶꮫꮅꮝꮤꮕ ꭰᏸꮅ ꭴꮎꮩꮲꮢ ꭰꮑꮈꮧꮝꭼꭹ ꭰꮄ ꭰᏸꮅ ꮪꮎꮩꮲꮢ ꭴꮎꮅꭺꮢ-ꭴꮅꭺꭿ ꭰꮄ ꮎꮝꭹ ꮒꭼꮕ ꭴꮅꭺꭿ ꮎꮝꭹ ꮷꮎꮩꮲꮓꮕꭿ ꭰꮄ ꮷꭼꮹꮆꮧ ꭴꮎꭲ ꮒꭶꮣ ꮝꭶꮪꭹ, ꮎꮝꭹ ꭰꮃꮟꮕꮩꮧ, ᏼꮻ ꭰꮄ ꭴꮒꮂ ꭲᏻꮎꮫꮑꮅꮧ ꮪᏻꭺꮫꭲ ꭲᏻꮅꮝꮩꮧ ꮎꮝꭹꮎ ꭴꮂ ꭰꮲꮙꮩꮧ ꭰꮄ ꮎꮝꭹ ꭴꮂ ꭴꮣꮕꮨꮧꭲ ꮎꮝꭹ ꭰꮞꮚ ꭴꮩꮇꮹꮫꮂꭹ.
23-00	Ꭰꮿꮩꮈ 23
23-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꮧꭶꮈꮻꮝꮣꮑꮧ, ꭴꮪꮣꮄꮣ ꭴꮡᏸꮝꮧ ꮧꭸꮵꮎꮲꮧꭲ, ꮎꭲ ꭳꮝꮣ ꭰꮄ ꭰꮡᏸꮝꮤꮕ ꮪꮎꮃꮟꮫꭹ ꮧꭶꮈꮻꮝꮣꮑꮧ ꭰꮄ ꮧꮝꮥꮅꮝꭹ ꮎꮝꭹꮎ ꮧꭸꮵꮎꮲꮧꭲ ꮒꭶꮢꮎ.
23-02	Ꮒꭶꮫ ꭰꮒᏼꮻ, ꮒꭶꭵ ꭰꮣꮫᏻꮴꮧ ꮒꭶꮢꮎ, ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꭲꮧꭶꮧ ꭰꭶꭻᏼꭱꮂꭲ ꮎꮝꭹꮎ ꭲꮧꭶꮧ ꮧꭶꮈꮻꮝꮣꮑꮧ.
23-03	Ꮒꭶꮫ ꭰꮒᏼꮻ ꮎꮝꭹꮎ ꮷꮒꮈꮻꮝꮣꮑꭿ ꭴꮒꮂ ꮪᏻꭺꮫ ꮎꮝꭹ ꭳꮝꮣ ꭰꮄ ꭰꮡᏸꮝꮤꮕ ꭸꭶꭻᏼꭱꮧᏹ ꭸꮢꭲ ꭰꮝꮣꮹꮫꮝꮧ ꮎꮝꭹꮎ ꭴꮹꮢꮙ ꭰꮄ ꮟꮣꮑꮈ ꮒꮪꮹꮕꭹ ꮎꮓ ꭰꮑꮂꭲ ꮷꭼꮹꮆꮧꮿ ꮎꭲ ꭰꮒᏼꮻ ꭰꮲꮙꮩꮧ, ꭰꮄ ꭶꮑꮙꮣ, ᏹꮒꭶꮅꮝꮧꮙ, ꮎꮝꭹꮓ ꮠꭲ ꭴꮎꮅꮝꮥꮈꮹꮩꮧ ꮎꮝꭹ ᏼꮻ ꮧꮒꮝꮥꮅꮝꭹ.
23-04	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꭴꮎꮩꮲꮧ ꭰꮄ ꮎꮝꭹ ꭴꮎꮦꮃꮧꮝꮧ ꮧꮎꮨꮝꭹ ꮜꮚ ꭴꮎꮅꭺꭿ ꮎꮝꭹꮎ ꮧꮒꮝꮥꮅꮝꭹ ꭴꮴꮅꭲ ꭷꮑꮙꭹ ꭸꮢꭲ.
24-00	Ꭰꮿꮩꮈ 24
24-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꭴꮳꮺꮠꮈꮝꮩꮧ ꭰꮄ ꮩꭲ ꮕꮫꮕꭹ ꮧꭶꮈꮻꮝꮣꮑꮧ, ꭴꮰꮿꮝꮧ ꮔꮆꮢꮝꮫꮎ ꭰꮞꮈꭹ ꭲᏻꮯꮆꮣ ꮪꮒꮈꮻꮝꮣꮑꮂ ꭰꮄ ꭲᏻꮣꮅꮚ ꮷꮒꮈꮻꮝꮣꮑꮧ ꮒꭸꮢꮎ ꭲꭶ ꮎꮝꭹ ꭰꭶꮘᏼꭾꮂ ꭴꮰꮿꮝꮧ.
25-00	Ꭰꮿꮩꮈ 25
25-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꭰᏸꮈ ꮔꮫꮏꮥꭼ ꭴꮄꮒꮩꮂ ꭱꮅꭲꭶ ꭴꮰᏹꮙ ᏻꮅꮝꮩꮧ ꭰꮄ ꭳꮝꮫ-ꮕꮫꮎꮥꭼ ꭴꮹꮜ ꭰꮄ ꮟꮣꮑꮈꭲ ꮪꮹꭷꮂꭹ, ꭴꮰꮿꮝꮧ ꭰꮅꮝꮣᏼꮨ, ꮧꮏꮼ, ꭶꮅꮶꮥ ꭰꮄ ꭶꮓꮲꭹꮕꮼꮨ ꭰꭶꮞꮝꮩꮧꭲ ꭰꮄ ᏹꮒꭶꮅꮝꮧ ᏼꮻ ꮧꮒꮝꮥꮈꭿꮩ ꭰꮵꮝꮥꮈꮧꭲ, ꭰꮄ ꮎꮝꭹ ꭴꮒꭾꮝꮧ ꮎꭲ ꭰꮵꮝꮥꮈꮧ ꮎᏻꭲ ꮎꮝꭹ ꮒꭶꮅꮝꮤꮒꮩꮂ ꮎꮝꭹ ꮧꭸꮵꮎꮲꮧꭲ ꮒꭶꮢꮎ, ꭴꮲꮵᏸꮝꭹ, ꮧꭼꮹꮈꮻꮝꮣꮑꮧ ꮒꭸꮢꮎ, ꭰꭶᏼꮅ, ꭰꮄ ꮠꭲ ꭶꮇꮆꭼꭹ ꮎꮝꭹ ꮧꭶꮈꮻꮝꮣꮑꮧ ꮧꭶꮈꮻꮝꮣꮑꮧ ꭴꮂꭹ ꮎᏻꭲ ꮒꭶꮅꮝꮤꮒꮩꮂꭲ ꭴꮆꮢꮝꮤꮕ ꭰꭸꮤꮧꮝꮧ ꮒꭸꮢꮎ.
25-02	Ꭴꮣꮵꭲ ꭰꮄ ꮧꮒᏺꮅ ꭴꮒꮂ ꭴꮎꮣꮒꮬꮕꭲ ꭴꮴꮅꮫ ꭸꭶꭶꮞꮝꮩꮧ ꭰꮄ ꭸꮵꮝꮥꮈꮧꭲ. Ꮒꭶꭵ ꮧꮒᏺꮯ, ꭲᏻꮓ ꮥꭸꭶꮸꮝꮤꮕꭹ ꭰꮄ ꮥꭸꭶꮸꮝꮤꮕꭹ ꮒꭸꮢꮎ ᏹꭹ ꭴꮥꮕꭹ, ꮽꮣꭺꮎꮫ ꭰꮅꭾꮅꮝꮧ ꮎꮝꭹ ꭴꮰᏹ ᏼꮻ ꮧꮒꮝꮥꮅꮝꭹ.
26-00	Ꭰꮿꮩꮈ 26
26-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꮷꮎꮥꮆꮖꮝꮧ. Ꮷꮎꮥꮆꮖꮝꮧ ꮽꮣꭺꮎꮫꭿ ꭰꮞꮚꭲ, ꭱꮅꮝꮧꮓ ꮎꮝꭹ ꭰꮣꮄꮒꮝꭼꭹ ꭰꮄ ꮔꭼꮻᏻꮢ ꮧꮃꮟꮩꮧ ꮹꮣꮞꮲꭹ. Ꭰꮣꮄꮒꮝꭼꭹ ꮷꮎꮥꮆꮖꮝꮧ ꮽꮣꭺꮎꮫꭿ ꭰꮪꮣꮈꮧ ꭸꮞꮝꮧ. Ꭰꭿꮈꮝꮧᏹ ꭰꮄ ꭰꭶꮤꮎꭲ ꭲᏻꮫꮑꮧ ꮷꮎꮥꮆꮖꮝꮧ ꮽꮣꭺꮎꮫꭿ ᏻꮅꮝꮩꮧ ꮒꭶꭵꮚ ꭴꮩꮲꮕꭹ ꭰꮫꮕꭲꮝꮤꮕꭹ ꭰꮄ ꮹꭶꮈꮃꮧᏼ ꮷꮎꮥꮆꮖꮝꮧ ꮽꮣꭺꮎꮫꭿ ᏻꮅꮝꮩꮧ ꭲꮧꭶꭶꮨ ꭼᏼꮝꮧ ꭸꮢꭲ ꮎꮝꭹ ꮒꭸꮣ ꭰꮄꮕꮤꮕ ꮔꮝꮫ ꮹꮫꮑꮧꭲ.
26-02	Ꮷꮎꮥꮆꮖꮝꮧ ꮽꮣꭺꮎꮫꭿ ᏻꮅꮝꮩꮧ ꭰꮣꮞꭾꮈ ꮎꮝꭹ ꭷꮅꭲ ꮪꮎꮰꮇꮹꮫꮂ ꮎꮝꭹ ꭰꮒᏼꮻ ꭴꮹꮢꭿꮚꮓ ꭰꮄ ꮎꮝꭹ ꮒꮪꮃꮒꭼꭼ ꭺꭿᏻꮧ ꮎꮝꭹꮎ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꭰꮄ ꮔꭼꮻᏻꮢ ꮧꮃꮟꮩꮧ ꮩꭿ ꭰꮥꮧꭲ. Ꭴꮒꭾꮝꮧ ꭼꮒꭸꮢ ꮒꭼꮕꭹ ꭺꮅꮝꮧꭲ, ꭰꮅꮝꭺꮅꮧꭸ ꭰꮄ ꭳꮅꭲ ꮔꮎꮫꮕ ꮒꭶꮣ ꭰᏸꮅ ꮪꮎꮩꮲꮢ, ꮷꮎꮣꮄꮕꮣ ꭰꮒᏼꮻ ꭰꮄ ꮷꮎꮑꮈꮧ ꮪꮎꮣꮰꭼ, ꭰꮄ ꮻꮧꮧꮲ ꮽꮣꭺꮎꮫ ꮎꮝꭹ ꭰꮅꮒꭼꮑꮧꭲ ꮎꮝꭹ ꭴꮎꮣꮪꮥꮻꮫ ꭰᏸꮅ ꮎꮝꭹꮎꮓ ꭴꮒꮝꮖꮒꭺꮩ ꮕꮹꮩꭿꮿꮫ.
26-03	Ꮷꮎꮣꭶᏼꮅꭸ ꭴꮒꭽ ꮷꮹꭻꮤꮕꮢ ꮪᏻꭺꮫ ꭴꮒꮂ ꭴꮎꮡᏸꮝꮧ ꮎꮝꭹ ꭲᏻꮝꮧ ꮷꮎꮥꮆꮖꮝꮧ ꮎꮝꭹ ꮽꮣꭺꮎꮫꭿ ᏻꮅꮝꮩꮧ ꭰꮵꮒꮧ ꮎꮝꭹ ꮪꮣꮨꮎꭵꭲ.
27-00	Ꭰꮿꮩꮈ 27
27-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꮔꮪꮣꮈꮎꮙ ꭴꮺꮃꮧꮣꮝꮧ ꮎꮏꭲ ꭴꮎꮄꮒꮣꮝꮧ ꭸꮢ ꭰꮎꮄꮒꮩꮀꭲ ꮎꮝꭹ ꭴꮒꮪꮢꭹ, ꮎꭲ ꭰꮅꭾꮅꮝꮧ ꮎꮝꭹ ꭺꮲꮕꮕ ꭰꮄ ꭰꮣᏺꮤꭱꮧ ꮎꮏꭲ ꮎꮟꮎꮢꭹ ꭰꮅᏹꮄꭼꭹ ꭰꮄ ꮎꮝꭹ ꭴꮎꮅꮝꮥꮈꮩꮧ.
27-02	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꭸꮵꮝꮥꮈꮧ ꮎꮝꭹ ꭰꭶꮣꮕꮦꮧ ꭰꮄ ꭼꮣꮒꮣꮝꮧ ꭰꮝꮣꮻꮫꮝꮧ ꮎꮝꭹꮎ ꮒꭶꭵ ꮻꮒꭶꮅꮝꮤꮒꭿꮂꭹ ꮎꮟꮎꮢꭹ, ꭰꭶꮤꮂ ꭺꮺꮅ ꭰꮄ ꭴꮓꮲꮕꮝꭹ ꭴꮓꮲꮕꮕ ꮎꮝꭹ ꮷꮼꮺꮃꮕꭿ.
28-00	Ꭰꮿꮩꮈ 28
28-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮒꭽ ꭴꮎꮣꮒꮬꮕꭲ ꮎꮝꭹ ꭴꮎꮣꮯꮜꮂꭹ ꭰꮄ ꭰᏸꮅ ꮪꮎꮩꮲꮢ ꮧꮃꮟꮩꮧ ꮎꮏ ꮎꮝꭹꮓ ꮪᏻꭺꮫꭹ ꭰꮄ ꮩꭿ ꮷꮎꮥꮧꭲ ꭶꮜꮩᏼ ꭶꭷꮕꭹ ꮎꮏꭲ ꭿꭰ ꮧꭶꮓꮳꮃꮕꭲ ꮎꮙꮓ ꭷꮅꭲ ꭰꮥꮃꮀꮢꭲ.
29-00	Ꭰꮿꮩꮈ 29
29-01	Ꮒꭶꮫ ꭰꮒᏼꮻ ꭲᏻꮫꮑꮧ ꭴꮒꮂꭹ ꮎꮝꭹ ꭴꮒꮪꮢꭹ ꮎꮏꭲ ꮎꮝꭹꮓ ꭴꮹꮢ ꮔꮪꮣꮈꮎ ꭰꮄ ꭰꭷꮅ ꮪꮎꮰꮇꮹꮫꮂ ꭴꮹꮢꭿꮚꮓ ꭴꮴꮅ ꮎꮝꭹ ꭾꮅꮚ ᏹꭼꮹꮅꮝꮩꮧ.
29-02	Ꮎꮝꭹꮓ ꭰꮕꮧꮝꭼ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꭲᏻꮎꮫꮑꮧ ꭰꮄ ꮩꭿ ꮷꮎꮥꮧꭲ, ꮒꭶꮫ ꭰꮒᏼꮻ ꭴꮎꮅꮝꭶꮝꮫ ꮎꮝꭹ ꮥꭻꭺꮤꮕ ꮧꭷꮏꮫꮝꮧ ꭴꮕꮢꭿᏻ ꮎꮝꭹꮎ ꭲᏻᏸꮈꮫ ꭶꮆꮠꮂꮝꭹ ꭴꮹꮜ ꭲᏻꮝꮧ ꮧꭶꮒᏼꮩꮧ ꮒꮧꭶꮅꮝꮩꮧꮝꭼ ꮧꮣꮒꮈꮸꭹ ꭰꮄ ꭺꭿᏻꮧ ꮎꮝꭹꮎ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꭰꮄ ꮩꭿ ꮷꮎꮥꮧꭲ ꮎꮝꭹ ꮠꭲ ꭰꮄ ꮣꮎꮰꮝꭼꭹ ꮎꮝꮙ ꭰꮞꭲ ꭲꮿꮫꮑꮧ ꮎꮝꭹ ꮪᏻꭺꮫ ꭲꮿꮫꮧ, ᏼꮻ ꭰꮣꮕꮻꮝꮧꮝꭹ ꭰꮄ ꮎꮝꭹ ꮒꭶꮣꮚ ꭴꮎꮅꮝꮥꮈꮤꮒꮣꮝꮧ ꮎꮏꭲ ᏼꮻ ꭴꮎꮴꮅꮫ ꭴꮎꮩꮲꭿ.
29-03	Ꭿꭰ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꭰꮄ ꮩꭿ ꮷꮎꮥꮧꭲ ꭱꮅꮚ ꮎꮏ ꮭ ᏻꮒꭾꮝꮧ ꭰꮣᏹꮅꮣꮝꮧ ꭴꮕꮧꮝꭼꭹ ꭰꮅꮝꭶꮑꮝꭹ ꮎꮝꭹ ꮕᏸꮈꮫ ꭰꮄ ꭴꮎꮅꮝꭺꮅᏼ ꮎꮝꭹ ꭴꮎꭲ ꭴꮎꮣꮪꮥꮻꮫ ꭰᏸꮅ ꮪꮎꮩꮲꮢ.
30-00	Ꭰꮿꮩꮈ 30
30-01	Ꭿꭰ ꮒꭼꮎꮕ ꮧꭶꮓꮳꮃꮕꭲ ꭱꮅꮚ ꮿꮎꮑꮲꮣ ꮎꮝꭹ ꮎꮑꮅꮝꭼꭹ ꮎꮝꭹꮎ ꮒꭶꭵ ꮝꭶꮪꭹ, ꭴꮎꮣꮯꮜꮂ ꭰꮄ ꭹꮆꮙ ꮒꭶꭵ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꮣꮎꮣꮑꮴꮧ ꮎꮏ ꮒꭶꭵ ꭰꮅꮒꭼꮑꮧꭲ ꭰꮄ ꮎꮝꭹꮓ ꭴꮒꮂ ꮎꮝꭹ ꮪᏻꭺꮫ ꭲꮿꮫꮑꮧ ꭰꮄ ꮩꭿ ꭰꮥꮧꭲ ꭶꭷꮕ ꭰꭽꮒꮙ ꮎꭲ ꮒꭶꭵ ꮧꭼꭺꮤꮕ ꭲꮿꮫꮑꮧ ꮎꮝꭹ ꭴꮒᏺꮝꮩꮧꭲ.
